# Gene Family	SampleCopper_homeostasis_Abundance-CPM
UniRef50_A7BZ23: Cation transport ATPase, E1-E2 family protein|unclassified	15.0964
UniRef50_UPI00039F55AD: hypothetical protein	15.0695
UniRef50_UPI00039F55AD: hypothetical protein|unclassified	15.0695
UniRef50_I3BRJ7	15.003
UniRef50_I3BRJ7|unclassified	15.003
UniRef50_G2DDM5: Cytochrome c5530 family protein	14.8511
UniRef50_G2DDM5: Cytochrome c5530 family protein|unclassified	14.8511
UniRef50_UPI000361E464: hypothetical protein	14.7776
UniRef50_UPI000361E464: hypothetical protein|unclassified	14.7776
UniRef50_M6C4Y2: Copper-containing nitrite reductase domain protein	14.763
UniRef50_M6C4Y2: Copper-containing nitrite reductase domain protein|unclassified	14.763
UniRef50_W5Y028: Major outer membrane protein	14.7609
UniRef50_W5Y028: Major outer membrane protein|unclassified	14.7609
UniRef50_UPI0003710AFB: hypothetical protein	14.7584
UniRef50_UPI0003710AFB: hypothetical protein|unclassified	14.7584
UniRef50_UPI0004631655: MerR family transcriptional regulator	14.7389
UniRef50_UPI0004631655: MerR family transcriptional regulator|unclassified	14.7389
UniRef50_C7RMN9: Cytochrome c-type biogenesis protein CcmI	14.7201
UniRef50_C7RMN9: Cytochrome c-type biogenesis protein CcmI|unclassified	14.7201
UniRef50_UPI0003647C93: hypothetical protein	14.7005
UniRef50_UPI0003647C93: hypothetical protein|unclassified	14.7005
UniRef50_V5SC22: Cytochrome C	14.674
UniRef50_V5SC22: Cytochrome C|unclassified	14.674
UniRef50_B9Z485	14.6697
UniRef50_B9Z485|unclassified	14.6697
UniRef50_UPI000473AE00: hypothetical protein	14.6477
UniRef50_UPI000473AE00: hypothetical protein|unclassified	14.6477
UniRef50_UPI00046D47FE: hypothetical protein	14.6468
UniRef50_UPI00046D47FE: hypothetical protein|unclassified	14.6468
UniRef50_A0A017TCR2: Cytochrome c family protein	14.5505
UniRef50_A0A017TCR2: Cytochrome c family protein|unclassified	14.5505
UniRef50_S4RUY8	14.5382
UniRef50_S4RUY8|unclassified	14.5382
UniRef50_UPI00026312AA: hypothetical protein	14.5139
UniRef50_UPI00026312AA: hypothetical protein|unclassified	14.5139
UniRef50_V5VXI8	14.5137
UniRef50_V5VXI8|unclassified	14.5137
UniRef50_UPI000477D095: hypothetical protein	14.4994
UniRef50_UPI000477D095: hypothetical protein|unclassified	14.4994
UniRef50_A4VMJ5: Lipoprotein, putative	14.4931
UniRef50_A4VMJ5: Lipoprotein, putative|unclassified	14.4931
UniRef50_F5Z7D1: ATP synthase F0 subunit B	14.4733
UniRef50_F5Z7D1: ATP synthase F0 subunit B|unclassified	14.4733
UniRef50_UPI000468B3E3: hypothetical protein	14.3921
UniRef50_UPI000468B3E3: hypothetical protein|unclassified	14.3921
UniRef50_B8J4X6: Tetratricopeptide TPR_2 repeat protein	14.2713
UniRef50_B8J4X6: Tetratricopeptide TPR_2 repeat protein|unclassified	14.2713
UniRef50_K2LWE7	14.2307
UniRef50_K2LWE7|unclassified	14.2307
UniRef50_X1D103: Marine sediment metagenome DNA, contig: S01H4_S13209	14.224
UniRef50_X1D103: Marine sediment metagenome DNA, contig: S01H4_S13209|unclassified	14.224
UniRef50_K7A0K0	14.2176
UniRef50_K7A0K0|unclassified	14.2176
UniRef50_A7MU92: Cystathionine gamma-synthase	14.138
UniRef50_A7MU92: Cystathionine gamma-synthase|unclassified	14.138
UniRef50_UPI0003F5A15E: hypothetical protein	14.1027
UniRef50_UPI0003F5A15E: hypothetical protein|unclassified	14.1027
UniRef50_UPI0004697BEB: hypothetical protein	14.0618
UniRef50_UPI0004697BEB: hypothetical protein|unclassified	14.0618
UniRef50_UPI000371B1AC: hypothetical protein	13.9422
UniRef50_UPI000371B1AC: hypothetical protein|unclassified	13.9422
UniRef50_UPI00047C5782: cytochrome C oxidase assembly protein	13.938
UniRef50_UPI00047C5782: cytochrome C oxidase assembly protein|unclassified	13.938
UniRef50_UPI000467722D: hypothetical protein, partial	13.9103
UniRef50_UPI000467722D: hypothetical protein, partial|unclassified	13.9103
UniRef50_U1K8Z3: Metal-binding protein	13.8625
UniRef50_U1K8Z3: Metal-binding protein|unclassified	13.8625
UniRef50_UPI0004647731: hypothetical protein	13.86
UniRef50_UPI0004647731: hypothetical protein|unclassified	13.86
UniRef50_Q72DK7: Cytochrome c family protein	13.8029
UniRef50_Q72DK7: Cytochrome c family protein|unclassified	13.8029
UniRef50_L8U5Z0	13.799
UniRef50_L8U5Z0|unclassified	13.799
UniRef50_B8KIJ2	13.6266
UniRef50_B8KIJ2|unclassified	13.6266
UniRef50_B1KK99: Cytochrome C biogenesis protein	13.6226
UniRef50_B1KK99: Cytochrome C biogenesis protein|unclassified	13.6226
UniRef50_V2QFB6	13.6209
UniRef50_V2QFB6|unclassified	13.6209
UniRef50_R6TV29: ATPase P-type (Transporting) HAD superfamily subfamily IC	13.5572
UniRef50_R6TV29: ATPase P-type (Transporting) HAD superfamily subfamily IC|unclassified	13.5572
UniRef50_UPI00036EE664: hypothetical protein	13.556
UniRef50_UPI00036EE664: hypothetical protein|unclassified	13.556
UniRef50_UPI0003B58E02: hypothetical protein	13.5166
UniRef50_UPI0003B58E02: hypothetical protein|unclassified	13.5166
UniRef50_K2MKP8	13.5092
UniRef50_K2MKP8|unclassified	13.5092
UniRef50_I3UBJ3: Type cbb3 cytochrome oxidase biogenesis protein CcoI	13.5028
UniRef50_I3UBJ3: Type cbb3 cytochrome oxidase biogenesis protein CcoI|unclassified	13.5028
UniRef50_T1AHV3: Cation transporting ATPase (Fragment)	13.474
UniRef50_T1AHV3: Cation transporting ATPase (Fragment)|unclassified	13.474
UniRef50_UPI000367A2AD: hypothetical protein	13.4607
UniRef50_UPI000367A2AD: hypothetical protein|unclassified	13.4607
UniRef50_C6KUS1: Cytochrome c-type biogenesis protein CcmH	13.4239
UniRef50_C6KUS1: Cytochrome c-type biogenesis protein CcmH|unclassified	13.4239
UniRef50_I2JG07: MerR family transcriptional regulator	13.4222
UniRef50_I2JG07: MerR family transcriptional regulator|unclassified	13.4222
UniRef50_UPI00037CB108: hypothetical protein	13.3961
UniRef50_UPI00037CB108: hypothetical protein|unclassified	13.3961
UniRef50_G2FGT7: Cytochrome c5530 family protein	13.3802
UniRef50_G2FGT7: Cytochrome c5530 family protein|unclassified	13.3802
UniRef50_A0A059MHD4	13.3453
UniRef50_A0A059MHD4|unclassified	13.3453
UniRef50_UPI00047EA838: hypothetical protein	13.2471
UniRef50_UPI00047EA838: hypothetical protein|unclassified	13.2471
UniRef50_S0G4E0: Tetratricopeptide TPR repeat-containing protein	13.1599
UniRef50_S0G4E0: Tetratricopeptide TPR repeat-containing protein|unclassified	13.1599
UniRef50_F0RMJ7: Cytochrome C biogenesis protein	13.1551
UniRef50_F0RMJ7: Cytochrome C biogenesis protein|unclassified	13.1551
UniRef50_L0M7P3: Cytochrome c-type biogenesis protein CcmI	13.1022
UniRef50_L0M7P3: Cytochrome c-type biogenesis protein CcmI|unclassified	13.1022
UniRef50_D2AXD4	13.0811
UniRef50_D2AXD4|unclassified	13.0811
UniRef50_K6DN39: Chromosome segregation ATPase-like protein (Fragment)	12.9238
UniRef50_K6DN39: Chromosome segregation ATPase-like protein (Fragment)|unclassified	12.9238
UniRef50_UPI0002630244: redoxin protein, partial	12.8966
UniRef50_UPI0002630244: redoxin protein, partial|unclassified	12.8966
UniRef50_B5VUL9	12.6714
UniRef50_B5VUL9|unclassified	12.6714
UniRef50_D6Z1U6: TPR repeat-containing protein	12.6466
UniRef50_D6Z1U6: TPR repeat-containing protein|unclassified	12.6466
UniRef50_M7A4T2: Cytochrome c oxidase caa3 assembly factor family protein	12.6033
UniRef50_M7A4T2: Cytochrome c oxidase caa3 assembly factor family protein|unclassified	12.6033
UniRef50_M0LCA8	12.5654
UniRef50_M0LCA8|unclassified	12.5654
UniRef50_R8AQ59: Diguanylate cyclase	12.5484
UniRef50_R8AQ59: Diguanylate cyclase|unclassified	12.5484
UniRef50_L1QJ32: Peptidoglycan binding domain protein	12.5435
UniRef50_L1QJ32: Peptidoglycan binding domain protein|unclassified	12.5435
UniRef50_A0A011MM38: Cytochrome c-type biogenesis protein CcmI	12.5285
UniRef50_A0A011MM38: Cytochrome c-type biogenesis protein CcmI|unclassified	12.5285
UniRef50_R5ZT37	12.4425
UniRef50_R5ZT37|unclassified	12.4425
UniRef50_UPI00036E116A: hypothetical protein	12.2914
UniRef50_UPI00036E116A: hypothetical protein|unclassified	12.2914
UniRef50_E1V8F0: Cytochrome c-type biogenesis protein	12.2185
UniRef50_E1V8F0: Cytochrome c-type biogenesis protein|unclassified	12.2185
UniRef50_UPI0001FFDD03: hypothetical protein	12.2043
UniRef50_UPI0001FFDD03: hypothetical protein|unclassified	12.2043
UniRef50_Q39Y50: Lipoprotein cytochrome c	12.2041
UniRef50_Q39Y50: Lipoprotein cytochrome c|unclassified	12.2041
UniRef50_UPI0003B7017F: alkyl hydroperoxide reductase	12.1218
UniRef50_UPI0003B7017F: alkyl hydroperoxide reductase|unclassified	12.1218
UniRef50_S5TFR5: Putative copper-binding protein	12.1102
UniRef50_S5TFR5: Putative copper-binding protein|unclassified	12.1102
UniRef50_UPI00037E5F0F: hypothetical protein	12.105
UniRef50_UPI00037E5F0F: hypothetical protein|unclassified	12.105
UniRef50_J2ZV78	12.0408
UniRef50_J2ZV78|unclassified	12.0408
UniRef50_T1XKG1	12.0384
UniRef50_T1XKG1|unclassified	12.0384
UniRef50_H0SU93	12.0375
UniRef50_H0SU93|unclassified	12.0375
UniRef50_UPI00046332C7: copper resistance protein CopC	11.9562
UniRef50_UPI00046332C7: copper resistance protein CopC|unclassified	11.9562
UniRef50_UPI0003C8765E: PREDICTED: potassium-transporting ATPase alpha chain 2-like, partial	11.9531
UniRef50_UPI0003C8765E: PREDICTED: potassium-transporting ATPase alpha chain 2-like, partial|unclassified	11.9531
UniRef50_Q6WLF6	11.9242
UniRef50_Q6WLF6|unclassified	11.9242
UniRef50_B5YFV2: Cytochrome c family protein	11.8354
UniRef50_B5YFV2: Cytochrome c family protein|unclassified	11.8354
UniRef50_G4E2D1	11.8118
UniRef50_G4E2D1|unclassified	11.8118
UniRef50_S6GNV2	11.7975
UniRef50_S6GNV2|unclassified	11.7975
UniRef50_K2DGZ0: Cytochrome c family protein (Fragment)	11.7234
UniRef50_K2DGZ0: Cytochrome c family protein (Fragment)|unclassified	11.7234
UniRef50_UPI00047326F2: transporter, partial	11.6701
UniRef50_UPI00047326F2: transporter, partial|unclassified	11.6701
UniRef50_UPI000479B2E4: hypothetical protein	11.6531
UniRef50_UPI000479B2E4: hypothetical protein|unclassified	11.6531
UniRef50_K0JYH3: Excalibur domain-containing protein	11.6341
UniRef50_K0JYH3: Excalibur domain-containing protein|unclassified	11.6341
UniRef50_E4PHJ1: Cytochrome c family protein	11.5766
UniRef50_E4PHJ1: Cytochrome c family protein|unclassified	11.5766
UniRef50_UPI00047CF72C: hypothetical protein	11.5466
UniRef50_UPI00047CF72C: hypothetical protein|unclassified	11.5466
UniRef50_V4PST2	11.5456
UniRef50_V4PST2|unclassified	11.5456
UniRef50_UPI0003B67B66: MerR family transcriptional regulator	11.453
UniRef50_UPI0003B67B66: MerR family transcriptional regulator|unclassified	11.453
UniRef50_UPI0003487457: hypothetical protein	11.3998
UniRef50_UPI0003487457: hypothetical protein|unclassified	11.3998
UniRef50_H1KTV4: Cytochrome c-type biogenesis protein CcmI (Fragment)	11.2792
UniRef50_H1KTV4: Cytochrome c-type biogenesis protein CcmI (Fragment)|unclassified	11.2792
UniRef50_E6PUL5	11.2492
UniRef50_E6PUL5|unclassified	11.2492
UniRef50_UPI0003B2E945: cytochrome B561, partial	11.2172
UniRef50_UPI0003B2E945: cytochrome B561, partial|unclassified	11.2172
UniRef50_UPI0003609370: hypothetical protein, partial	11.2049
UniRef50_UPI0003609370: hypothetical protein, partial|unclassified	11.2049
UniRef50_W6LZP0: Diguanylate cyclase	11.1413
UniRef50_W6LZP0: Diguanylate cyclase|unclassified	11.1413
UniRef50_UPI0003B6B74E: hypothetical protein	11.095
UniRef50_UPI0003B6B74E: hypothetical protein|unclassified	11.095
UniRef50_H0TTQ6: Cytochrome c family protein	11.0895
UniRef50_H0TTQ6: Cytochrome c family protein|unclassified	11.0895
UniRef50_F6BRD9	11.0443
UniRef50_F6BRD9|unclassified	11.0443
UniRef50_K2B004	11.0398
UniRef50_K2B004|unclassified	11.0398
UniRef50_T9XXF8	11.0394
UniRef50_T9XXF8|unclassified	11.0394
UniRef50_UPI0003B63578: cytochrome C	11.0223
UniRef50_UPI0003B63578: cytochrome C|unclassified	11.0223
UniRef50_UPI0003A4B159: cytochrome C biogenesis protein	10.985
UniRef50_UPI0003A4B159: cytochrome C biogenesis protein|unclassified	10.985
UniRef50_H3KGA4: Putative cytochrome C-type biogenesis protein CcmH	10.9809
UniRef50_H3KGA4: Putative cytochrome C-type biogenesis protein CcmH|unclassified	10.9809
UniRef50_B8JGB0: TPR repeat-containing protein	10.9696
UniRef50_B8JGB0: TPR repeat-containing protein|unclassified	10.9696
UniRef50_F3KDF5	10.962
UniRef50_F3KDF5|unclassified	10.962
UniRef50_UPI0003F74FB7: hypothetical protein	10.9423
UniRef50_UPI0003F74FB7: hypothetical protein|unclassified	10.9423
UniRef50_G4F890: Membrane protein	10.9215
UniRef50_G4F890: Membrane protein|unclassified	10.9215
UniRef50_T1BIM0: Cytochrome C biogenesis protein CcmH	10.8719
UniRef50_T1BIM0: Cytochrome C biogenesis protein CcmH|unclassified	10.8719
UniRef50_UPI00037E987E: hypothetical protein	10.8012
UniRef50_UPI00037E987E: hypothetical protein|unclassified	10.8012
UniRef50_UPI0003668C1C: hypothetical protein	10.7738
UniRef50_UPI0003668C1C: hypothetical protein|unclassified	10.7738
UniRef50_J7KZJ5: Formate-dependent nitrite reductase complex subunit NrfF	10.7405
UniRef50_J7KZJ5: Formate-dependent nitrite reductase complex subunit NrfF|unclassified	10.7405
UniRef50_K1JMH3	10.7075
UniRef50_K1JMH3|unclassified	10.7075
UniRef50_W6VS49	10.7046
UniRef50_W6VS49|unclassified	10.7046
UniRef50_B3E3V4: Fibronectin type III domain protein	10.6935
UniRef50_B3E3V4: Fibronectin type III domain protein|unclassified	10.6935
UniRef50_S7ULI4: Tetratricopeptide repeat-containing protein	10.6798
UniRef50_S7ULI4: Tetratricopeptide repeat-containing protein|unclassified	10.6798
UniRef50_F2II78	10.6664
UniRef50_F2II78|unclassified	10.6664
UniRef50_T4AZK5: Copper-translocating P-type ATPase domain protein (Fragment)	10.6478
UniRef50_T4AZK5: Copper-translocating P-type ATPase domain protein (Fragment)|unclassified	10.6478
UniRef50_UPI00046A240E: hypothetical protein	10.5515
UniRef50_UPI00046A240E: hypothetical protein|unclassified	10.5515
UniRef50_R4X4B8: Tetratricopeptide TPR_2 repeat protein	10.5514
UniRef50_R4X4B8: Tetratricopeptide TPR_2 repeat protein|unclassified	10.5514
UniRef50_UPI0004776114: hypothetical protein	10.5225
UniRef50_UPI0004776114: hypothetical protein|unclassified	10.5225
UniRef50_UPI00047E1E00: hypothetical protein	10.4826
UniRef50_UPI00047E1E00: hypothetical protein|unclassified	10.4826
UniRef50_UPI0004008432: hypothetical protein	10.4569
UniRef50_UPI0004008432: hypothetical protein|unclassified	10.4569
UniRef50_UPI0003A0D931: chemotaxis protein CheY	10.4239
UniRef50_UPI0003A0D931: chemotaxis protein CheY|unclassified	10.4239
UniRef50_X7VZ39: Cytochrome c oxidase caa3 assembly factor family protein	10.4082
UniRef50_X7VZ39: Cytochrome c oxidase caa3 assembly factor family protein|unclassified	10.4082
UniRef50_UPI0002625B4A: hypothetical protein	10.4064
UniRef50_UPI0002625B4A: hypothetical protein|unclassified	10.4064
UniRef50_UPI0004788C95: hypothetical protein	10.3593
UniRef50_UPI0004788C95: hypothetical protein|unclassified	10.3593
UniRef50_UPI0003B35E4B: cytochrome C biogenesis protein	10.3536
UniRef50_UPI0003B35E4B: cytochrome C biogenesis protein|unclassified	10.3536
UniRef50_UPI0002E08020: hypothetical protein	10.3039
UniRef50_UPI0002E08020: hypothetical protein|unclassified	10.3039
UniRef50_I6ZGT8: Putative L,D-transpeptidase	10.2472
UniRef50_I6ZGT8: Putative L,D-transpeptidase|unclassified	10.2472
UniRef50_UPI0004213AD6: hypothetical protein	10.1749
UniRef50_UPI0004213AD6: hypothetical protein|unclassified	10.1749
UniRef50_I0MMD8: Cytochrome c-type biogenesis protein CcmF	10.1329
UniRef50_I0MMD8: Cytochrome c-type biogenesis protein CcmF|unclassified	10.1329
UniRef50_H5WSP3: Doubled CXXCH motif-containing protein	10.1052
UniRef50_H5WSP3: Doubled CXXCH motif-containing protein|unclassified	10.1052
UniRef50_T0YD11: Inner membrane protein	10.1011
UniRef50_T0YD11: Inner membrane protein|unclassified	10.1011
UniRef50_UPI00046CE294: hypothetical protein	10.101
UniRef50_UPI00046CE294: hypothetical protein|unclassified	10.101
UniRef50_W9HER4: Cytochrome C biogenesis protein	10.0935
UniRef50_W9HER4: Cytochrome C biogenesis protein|unclassified	10.0935
UniRef50_X0X1A7: Marine sediment metagenome DNA, contig: S01H1_S34274 (Fragment)	10.0412
UniRef50_X0X1A7: Marine sediment metagenome DNA, contig: S01H1_S34274 (Fragment)|unclassified	10.0412
UniRef50_UPI00028886C0: hypothetical protein	10.0343
UniRef50_UPI00028886C0: hypothetical protein|unclassified	10.0343
UniRef50_K1Y8G6: Tetratricopeptide TPR_1 repeat-containing protein	10.0336
UniRef50_K1Y8G6: Tetratricopeptide TPR_1 repeat-containing protein|unclassified	10.0336
UniRef50_R4VDK5	10.0036
UniRef50_R4VDK5|unclassified	10.0036
UniRef50_UPI0002E54DB8: hypothetical protein	9.99984
UniRef50_UPI0002E54DB8: hypothetical protein|unclassified	9.99984
UniRef50_UPI00046D7EBD: hypothetical protein	9.90561
UniRef50_UPI00046D7EBD: hypothetical protein|unclassified	9.90561
UniRef50_UPI00035FA9AD: hypothetical protein, partial	9.89979
UniRef50_UPI00035FA9AD: hypothetical protein, partial|unclassified	9.89979
UniRef50_M1PA61: Cytochrome c biogenesis factor	9.7908
UniRef50_M1PA61: Cytochrome c biogenesis factor|unclassified	9.7908
UniRef50_UPI00035F0BBA: hypothetical protein	9.7792
UniRef50_UPI00035F0BBA: hypothetical protein|unclassified	9.7792
UniRef50_G3CHS6: Copper resistance protein B (Fragment)	9.77641
UniRef50_G3CHS6: Copper resistance protein B (Fragment)|unclassified	9.77641
UniRef50_B8J9X8	9.77451
UniRef50_B8J9X8|unclassified	9.77451
UniRef50_UPI0003673352: hypothetical protein	9.75101
UniRef50_UPI0003673352: hypothetical protein|unclassified	9.75101
UniRef50_S6B7X6	9.74352
UniRef50_S6B7X6|unclassified	9.74352
UniRef50_C4RJZ3: Metal transporter ATPase	9.69845
UniRef50_C4RJZ3: Metal transporter ATPase|unclassified	9.69845
UniRef50_UPI00037B390F: hypothetical protein	9.67474
UniRef50_UPI00037B390F: hypothetical protein|unclassified	9.67474
UniRef50_UPI00035F55B6: hypothetical protein	9.65932
UniRef50_UPI00035F55B6: hypothetical protein|unclassified	9.65932
UniRef50_X0PAZ9: Cadmium-translocating P-type ATPase	9.65822
UniRef50_X0PAZ9: Cadmium-translocating P-type ATPase|unclassified	9.65822
UniRef50_UPI00026CD69C: hypothetical protein, partial	9.64938
UniRef50_UPI00026CD69C: hypothetical protein, partial|unclassified	9.64938
UniRef50_UPI0003662D58: hypothetical protein	9.62377
UniRef50_UPI0003662D58: hypothetical protein|unclassified	9.62377
UniRef50_E6W3M0	9.56822
UniRef50_E6W3M0|unclassified	9.56822
UniRef50_UPI0004742452: hypothetical protein, partial	9.55954
UniRef50_UPI0004742452: hypothetical protein, partial|unclassified	9.55954
UniRef50_L0JN47: Putative metal-binding protein	9.52686
UniRef50_L0JN47: Putative metal-binding protein|unclassified	9.52686
UniRef50_UPI0002880099: thioredoxin family protein	9.39778
UniRef50_UPI0002880099: thioredoxin family protein|unclassified	9.39778
UniRef50_S9TJ53: Cytochrome c-type biogenesis protein cycH	9.36431
UniRef50_S9TJ53: Cytochrome c-type biogenesis protein cycH|unclassified	9.36431
UniRef50_I2F170: Cytochrome c family protein	9.28146
UniRef50_I2F170: Cytochrome c family protein|unclassified	9.28146
UniRef50_X0X641: Marine sediment metagenome DNA, contig: S01H1_S28553 (Fragment)	9.23314
UniRef50_X0X641: Marine sediment metagenome DNA, contig: S01H1_S28553 (Fragment)|unclassified	9.23314
UniRef50_UPI00046FBA79: L,D-transpeptidase, partial	9.17666
UniRef50_UPI00046FBA79: L,D-transpeptidase, partial|unclassified	9.17666
UniRef50_UPI000363D7BD: hypothetical protein	9.17434
UniRef50_UPI000363D7BD: hypothetical protein|unclassified	9.17434
UniRef50_H6N9B3: Heavy metal translocating P-type ATPase	9.13945
UniRef50_H6N9B3: Heavy metal translocating P-type ATPase|unclassified	9.13945
UniRef50_A0A023D547: Cation transporter ATPase	9.13586
UniRef50_A0A023D547: Cation transporter ATPase|unclassified	9.13586
UniRef50_D2R8V3: Diguanylate cyclase	9.10933
UniRef50_D2R8V3: Diguanylate cyclase|unclassified	9.10933
UniRef50_UPI00016A31B3: hypothetical protein	9.02827
UniRef50_UPI00016A31B3: hypothetical protein|unclassified	9.02827
UniRef50_U1M3M0	9.00035
UniRef50_U1M3M0|unclassified	9.00035
UniRef50_Q5KXL9: Thiol-disulfide oxidoreductase ResA	8.99514
UniRef50_Q5KXL9: Thiol-disulfide oxidoreductase ResA|unclassified	8.99514
UniRef50_UPI00047747D2: hypothetical protein	8.97351
UniRef50_UPI00047747D2: hypothetical protein|unclassified	8.97351
UniRef50_UPI000469E773: hypothetical protein	8.96667
UniRef50_UPI000469E773: hypothetical protein|unclassified	8.96667
UniRef50_F3KZX4: Cytochrome c family protein	8.95282
UniRef50_F3KZX4: Cytochrome c family protein|unclassified	8.95282
UniRef50_UPI00041300FD: hypothetical protein	8.94602
UniRef50_UPI00041300FD: hypothetical protein|unclassified	8.94602
UniRef50_A0A017SYP9: Cytochrome c family protein	8.9346
UniRef50_A0A017SYP9: Cytochrome c family protein|unclassified	8.9346
UniRef50_Q6ANV1: Related to peroxisomal targeting signal type 1 receptor	8.87684
UniRef50_Q6ANV1: Related to peroxisomal targeting signal type 1 receptor|unclassified	8.87684
UniRef50_A0A059MI96: Membrane protein	8.85391
UniRef50_A0A059MI96: Membrane protein|unclassified	8.85391
UniRef50_N8YV68	8.76282
UniRef50_N8YV68|unclassified	8.76282
UniRef50_Q0RV37	8.7222
UniRef50_Q0RV37|unclassified	8.7222
UniRef50_E1V7A5	8.71695
UniRef50_E1V7A5|unclassified	8.71695
UniRef50_UPI00034D528C: hypothetical protein	8.71622
UniRef50_UPI00034D528C: hypothetical protein|unclassified	8.71622
UniRef50_UPI0003750EA4: hypothetical protein	8.66698
UniRef50_UPI0003750EA4: hypothetical protein|unclassified	8.66698
UniRef50_UPI000380A91D: hypothetical protein	8.51065
UniRef50_UPI000380A91D: hypothetical protein|unclassified	8.51065
UniRef50_D1C3N2: Cytochrome C biogenesis protein	8.50994
UniRef50_D1C3N2: Cytochrome C biogenesis protein|unclassified	8.50994
UniRef50_Q7U979	8.48805
UniRef50_Q7U979|unclassified	8.48805
UniRef50_F2K326: Cytochrome C biogenesis protein	8.48684
UniRef50_F2K326: Cytochrome C biogenesis protein|unclassified	8.48684
UniRef50_W1FZW0: Multidrug resistance transporter, Bcr/CflA family	8.47945
UniRef50_W1FZW0: Multidrug resistance transporter, Bcr/CflA family|unclassified	8.47945
UniRef50_A0A016QKH4	8.47783
UniRef50_A0A016QKH4|unclassified	8.47783
UniRef50_L0WCT5: Inner membrane protein	8.4159
UniRef50_L0WCT5: Inner membrane protein|unclassified	8.4159
UniRef50_UPI0004776C7A: hypothetical protein	8.36335
UniRef50_UPI0004776C7A: hypothetical protein|unclassified	8.36335
UniRef50_M4S1S2: TPR repeat-containing protein	8.3401
UniRef50_M4S1S2: TPR repeat-containing protein|unclassified	8.3401
UniRef50_L0A9A0	8.29457
UniRef50_L0A9A0|unclassified	8.29457
UniRef50_UPI00039DF238: hypothetical protein	8.24893
UniRef50_UPI00039DF238: hypothetical protein|unclassified	8.24893
UniRef50_V4QK88	8.20515
UniRef50_V4QK88|unclassified	8.20515
UniRef50_H7DDH0: Cadmium-exporting ATPase	8.19776
UniRef50_H7DDH0: Cadmium-exporting ATPase|unclassified	8.19776
UniRef50_UPI000371A603: hypothetical protein	8.19453
UniRef50_UPI000371A603: hypothetical protein|unclassified	8.19453
UniRef50_H0Q2P8	8.16521
UniRef50_H0Q2P8|unclassified	8.16521
UniRef50_M0BZ32: Nitrite reductase	8.13851
UniRef50_M0BZ32: Nitrite reductase|unclassified	8.13851
UniRef50_E8RK01: Tetratricopeptide TPR_1 repeat-containing protein	8.13531
UniRef50_E8RK01: Tetratricopeptide TPR_1 repeat-containing protein|unclassified	8.13531
UniRef50_X0S535: Cu(I)-responsive transcriptional regulator	8.1071
UniRef50_X0S535: Cu(I)-responsive transcriptional regulator|unclassified	8.1071
UniRef50_Q39XC6: TPR domain protein	8.07155
UniRef50_Q39XC6: TPR domain protein|unclassified	8.07155
UniRef50_R5CYI8: Cadmium-exporting ATPase	8.01747
UniRef50_R5CYI8: Cadmium-exporting ATPase|unclassified	8.01747
UniRef50_Q1NE86	8.00492
UniRef50_Q1NE86|unclassified	8.00492
UniRef50_L9PNE6: Tetratricopeptide repeat-containing protein	7.95205
UniRef50_L9PNE6: Tetratricopeptide repeat-containing protein|unclassified	7.95205
UniRef50_UPI00046591F8: hypothetical protein	7.91915
UniRef50_UPI00046591F8: hypothetical protein|unclassified	7.91915
UniRef50_K4QY39: Putative secreted protein	7.90847
UniRef50_K4QY39: Putative secreted protein|unclassified	7.90847
UniRef50_G9ZFX2	7.90796
UniRef50_G9ZFX2|unclassified	7.90796
UniRef50_A0A023D2R4: Cytochrome c-type biogenesis protein CcmH/CycH	7.90078
UniRef50_A0A023D2R4: Cytochrome c-type biogenesis protein CcmH/CycH|unclassified	7.90078
UniRef50_J1FBA4	7.89949
UniRef50_J1FBA4|unclassified	7.89949
UniRef50_UPI000407713D: hypothetical protein	7.89286
UniRef50_UPI000407713D: hypothetical protein|unclassified	7.89286
UniRef50_A3Q9S0: Cytochrome C biogenesis protein	7.87013
UniRef50_A3Q9S0: Cytochrome C biogenesis protein|unclassified	7.87013
UniRef50_H0SB80	7.80579
UniRef50_H0SB80|unclassified	7.80579
UniRef50_H2A8Z3	7.74078
UniRef50_H2A8Z3|unclassified	7.74078
UniRef50_UPI0001FFDCD4: MerR family transcriptional regulator	7.719
UniRef50_UPI0001FFDCD4: MerR family transcriptional regulator|unclassified	7.719
UniRef50_L8GEQ8: Nitrite reductase, coppercontaining, putative	7.69246
UniRef50_L8GEQ8: Nitrite reductase, coppercontaining, putative|unclassified	7.69246
UniRef50_V4JUH9	7.67897
UniRef50_V4JUH9|unclassified	7.67897
UniRef50_H1L071: Heavy metal translocating P-type ATPase	7.66834
UniRef50_H1L071: Heavy metal translocating P-type ATPase|unclassified	7.66834
UniRef50_U3BJD2	7.66333
UniRef50_U3BJD2|unclassified	7.66333
UniRef50_E1LD62	7.66265
UniRef50_E1LD62|unclassified	7.66265
UniRef50_R4UVA1	7.64471
UniRef50_R4UVA1|unclassified	7.64471
UniRef50_F4CXF3: Cytochrome c oxidase caa3-type, assembly factor CtaG-related protein	7.62896
UniRef50_F4CXF3: Cytochrome c oxidase caa3-type, assembly factor CtaG-related protein|unclassified	7.62896
UniRef50_F8CLE3	7.60945
UniRef50_F8CLE3|unclassified	7.60945
UniRef50_H5WSN9	7.60664
UniRef50_H5WSN9|unclassified	7.60664
