# Gene Family	SampleDNA_repair._bacterial_Abundance-RPKs
UniRef50_F6CJ84: DNA repair protein RadC|unclassified	7.5046852294
UniRef50_UPI0004765C3B: hypothetical protein	7.5024165944
UniRef50_UPI0004765C3B: hypothetical protein|unclassified	7.5024165944
UniRef50_Q3SIT9: LexA repressor	7.4803572421
UniRef50_Q3SIT9: LexA repressor|unclassified	7.4803572421
UniRef50_UPI00037A1256: hypothetical protein	7.4650004674
UniRef50_UPI00037A1256: hypothetical protein|unclassified	7.4650004674
UniRef50_UPI00046FFD84: hypothetical protein	7.4602172297
UniRef50_UPI00046FFD84: hypothetical protein|unclassified	7.4602172297
UniRef50_R5PY27: DNA repair protein RadC	7.4555318659
UniRef50_R5PY27: DNA repair protein RadC|unclassified	7.4555318659
UniRef50_Q12AY4	7.4522687252
UniRef50_Q12AY4|unclassified	7.4522687252
UniRef50_F6CZ33: AsmA family protein	7.4331681703
UniRef50_F6CZ33: AsmA family protein|unclassified	7.4331681703
UniRef50_UPI0003822ADF: hypothetical protein	7.4280469298
UniRef50_UPI0003822ADF: hypothetical protein|unclassified	7.4280469298
UniRef50_UPI0002193A94: methylated-DNA--protein-cysteine methyltransferase	7.4253146565
UniRef50_UPI0002193A94: methylated-DNA--protein-cysteine methyltransferase|unclassified	7.4253146565
UniRef50_A6LLZ4: ATPase involved in DNA repair-like protein	7.4203243482
UniRef50_A6LLZ4: ATPase involved in DNA repair-like protein|unclassified	7.4203243482
UniRef50_UPI000468C2D8: DNA polymerase	7.4133363124
UniRef50_UPI000468C2D8: DNA polymerase|unclassified	7.4133363124
UniRef50_W0IZP3: DNA repair protein	7.3741341248
UniRef50_W0IZP3: DNA repair protein|unclassified	7.3741341248
UniRef50_UPI00034CE892: hypothetical protein	7.3740868571
UniRef50_UPI00034CE892: hypothetical protein|unclassified	7.3740868571
UniRef50_A0A013VLP0: Recombinase RmuC	7.3727499587
UniRef50_A0A013VLP0: Recombinase RmuC|unclassified	7.3727499587
UniRef50_V8G5S7: DNA recombination protein RmuC	7.3391226814
UniRef50_V8G5S7: DNA recombination protein RmuC|unclassified	7.3391226814
UniRef50_Q2RKS3	7.3347760849
UniRef50_Q2RKS3|unclassified	7.3347760849
UniRef50_UPI000478782E: hypothetical protein	7.3275319213
UniRef50_UPI000478782E: hypothetical protein|unclassified	7.3275319213
UniRef50_F5TBF2: RmuC domain protein	7.3230068339
UniRef50_F5TBF2: RmuC domain protein|unclassified	7.3230068339
UniRef50_W6J974: DNA repair protein	7.3154568965
UniRef50_W6J974: DNA repair protein|unclassified	7.3154568965
UniRef50_W0ESQ7: DNA recombination protein RmuC	7.3084610368
UniRef50_W0ESQ7: DNA recombination protein RmuC|unclassified	7.3084610368
UniRef50_UPI0004795FF9: hypothetical protein	7.3060982851
UniRef50_UPI0004795FF9: hypothetical protein|unclassified	7.3060982851
UniRef50_UPI000466C642: hypothetical protein	7.3057736285
UniRef50_UPI000466C642: hypothetical protein|unclassified	7.3057736285
UniRef50_A0Z2T6: DNA repair protein RadC	7.2975526282
UniRef50_A0Z2T6: DNA repair protein RadC|unclassified	7.2975526282
UniRef50_UPI000382BD1F: single-stranded DNA-binding protein	7.2760701069
UniRef50_UPI000382BD1F: single-stranded DNA-binding protein|unclassified	7.2760701069
UniRef50_C0GD03: SMC domain protein	7.2646738640
UniRef50_C0GD03: SMC domain protein|unclassified	7.2646738640
UniRef50_R5EPH7	7.2552855220
UniRef50_R5EPH7|unclassified	7.2552855220
UniRef50_UPI0003B60E7F: DNA-repair protein	7.2452990926
UniRef50_UPI0003B60E7F: DNA-repair protein|unclassified	7.2452990926
UniRef50_UPI000262CE74: exodeoxyribonuclease VII large subunit	7.2451790326
UniRef50_UPI000262CE74: exodeoxyribonuclease VII large subunit|unclassified	7.2451790326
UniRef50_F0JFH1: DNA repair protein RadC	7.2440933848
UniRef50_F0JFH1: DNA repair protein RadC|unclassified	7.2440933848
UniRef50_X1JAX1: Marine sediment metagenome DNA, contig: S03H2_S22776 (Fragment)	7.2419437752
UniRef50_X1JAX1: Marine sediment metagenome DNA, contig: S03H2_S22776 (Fragment)|unclassified	7.2419437752
UniRef50_T2HCF1	7.2379213754
UniRef50_T2HCF1|unclassified	7.2379213754
UniRef50_X8IS87: RmuC domain protein	7.2335414578
UniRef50_X8IS87: RmuC domain protein|unclassified	7.2335414578
UniRef50_B8IVV1	7.2306274811
UniRef50_B8IVV1|unclassified	7.2306274811
UniRef50_UPI00035C3486: hypothetical protein	7.2061265228
UniRef50_UPI00035C3486: hypothetical protein|unclassified	7.2061265228
UniRef50_X0UBZ3: Marine sediment metagenome DNA, contig: S01H1_S04049	7.2029354669
UniRef50_X0UBZ3: Marine sediment metagenome DNA, contig: S01H1_S04049|unclassified	7.2029354669
UniRef50_F5T5A8: DNA repair protein RadC	7.1749097908
UniRef50_F5T5A8: DNA repair protein RadC|unclassified	7.1749097908
UniRef50_B0S483: DNA repair protein	7.1703899231
UniRef50_B0S483: DNA repair protein|unclassified	7.1703899231
UniRef50_UPI0003617A84: single-stranded DNA-binding protein	7.1675975481
UniRef50_UPI0003617A84: single-stranded DNA-binding protein|unclassified	7.1675975481
UniRef50_S5Y0M1: DNA recombination, RmuC	7.1670399767
UniRef50_S5Y0M1: DNA recombination, RmuC|unclassified	7.1670399767
UniRef50_Q1M465: Hypothetical exported protein	7.1640464969
UniRef50_Q1M465: Hypothetical exported protein|unclassified	7.1640464969
UniRef50_UPI0003636696: hypothetical protein	7.1506921599
UniRef50_UPI0003636696: hypothetical protein|unclassified	7.1506921599
UniRef50_UPI000479D6A6: nucleotidyltransferase	7.1496512399
UniRef50_UPI000479D6A6: nucleotidyltransferase|unclassified	7.1496512399
UniRef50_C7M2A7	7.1366661886
UniRef50_C7M2A7|unclassified	7.1366661886
UniRef50_G4L7K1	7.1324866771
UniRef50_G4L7K1|unclassified	7.1324866771
UniRef50_Q6MAW0	7.1160783273
UniRef50_Q6MAW0|unclassified	7.1160783273
UniRef50_UPI0003814A05: hypothetical protein, partial	7.1099436108
UniRef50_UPI0003814A05: hypothetical protein, partial|unclassified	7.1099436108
UniRef50_UPI0002F2B0DA: DNA repair protein RadC	7.0927087008
UniRef50_UPI0002F2B0DA: DNA repair protein RadC|unclassified	7.0927087008
UniRef50_A4B9E7: ATPase component of ABC transporter with duplicated ATPase domains	7.0778442917
UniRef50_A4B9E7: ATPase component of ABC transporter with duplicated ATPase domains|unclassified	7.0778442917
UniRef50_W3ASI4: DNA repair protein radc	7.0746524119
UniRef50_W3ASI4: DNA repair protein radc|unclassified	7.0746524119
UniRef50_F0BIU9: DNA repair protein	7.0718499481
UniRef50_F0BIU9: DNA repair protein|unclassified	7.0718499481
UniRef50_U1QF74	7.0631046093
UniRef50_U1QF74|unclassified	7.0631046093
UniRef50_X1I8K6: Marine sediment metagenome DNA, contig: S03H2_S11570 (Fragment)	7.0560406058
UniRef50_X1I8K6: Marine sediment metagenome DNA, contig: S03H2_S11570 (Fragment)|unclassified	7.0560406058
UniRef50_D6TPW4: SMC domain protein	7.0417761774
UniRef50_D6TPW4: SMC domain protein|unclassified	7.0417761774
UniRef50_G9X101	7.0408037309
UniRef50_G9X101|unclassified	7.0408037309
UniRef50_UPI000479F6EB: DNA polymerase	7.0401672496
UniRef50_UPI000479F6EB: DNA polymerase|unclassified	7.0401672496
UniRef50_D5QD62: DNA repair protein RadC	7.0390411860
UniRef50_D5QD62: DNA repair protein RadC|unclassified	7.0390411860
UniRef50_Z5XFF4: ArsR family transcriptional regulator	7.0364093478
UniRef50_Z5XFF4: ArsR family transcriptional regulator|unclassified	7.0364093478
UniRef50_UPI000468EA80: hypothetical protein, partial	7.0319890330
UniRef50_UPI000468EA80: hypothetical protein, partial|unclassified	7.0319890330
UniRef50_UPI0003B791B6: methylated-DNA--protein-cysteine methyltransferase	7.0265794781
UniRef50_UPI0003B791B6: methylated-DNA--protein-cysteine methyltransferase|unclassified	7.0265794781
UniRef50_R8PP45	7.0186889435
UniRef50_R8PP45|unclassified	7.0186889435
UniRef50_E3G0K7	7.0178894621
UniRef50_E3G0K7|unclassified	7.0178894621
UniRef50_G8P1G4: RmuC-domain protein	7.0077105564
UniRef50_G8P1G4: RmuC-domain protein|unclassified	7.0077105564
UniRef50_D1BPE8: ATPase involved in DNA repair-like protein	7.0062948126
UniRef50_D1BPE8: ATPase involved in DNA repair-like protein|unclassified	7.0062948126
UniRef50_UPI00046F3FB3: hypothetical protein	7.0038995273
UniRef50_UPI00046F3FB3: hypothetical protein|unclassified	7.0038995273
UniRef50_UPI00047E5D38: recombinase RmuC	6.9669170537
UniRef50_UPI00047E5D38: recombinase RmuC|unclassified	6.9669170537
UniRef50_UPI0003687AB3: hypothetical protein	6.9242979987
UniRef50_UPI0003687AB3: hypothetical protein|unclassified	6.9242979987
UniRef50_UPI000263073C: protein ImuB, partial	6.9193620552
UniRef50_UPI000263073C: protein ImuB, partial|unclassified	6.9193620552
UniRef50_T0ZGC8: DNA repair protein RadC (Fragment)	6.9107927470
UniRef50_T0ZGC8: DNA repair protein RadC (Fragment)|unclassified	6.9107927470
UniRef50_UPI0003B4BDA1: methylated-DNA-protein-cysteine methyltransferase	6.8970611346
UniRef50_UPI0003B4BDA1: methylated-DNA-protein-cysteine methyltransferase|unclassified	6.8970611346
UniRef50_J9FTY4	6.8965517241
UniRef50_J9FTY4|unclassified	6.8965517241
UniRef50_UPI0003EB23D9: integrase, partial	6.8965517241
UniRef50_UPI0003EB23D9: integrase, partial|unclassified	6.8965517241
UniRef50_G8UTP2	6.8959580484
UniRef50_G8UTP2|unclassified	6.8959580484
UniRef50_UPI00036E206E: hypothetical protein	6.8847897020
UniRef50_UPI00036E206E: hypothetical protein|unclassified	6.8847897020
UniRef50_C0VZN7: RmuC domain protein	6.8847623202
UniRef50_C0VZN7: RmuC domain protein|unclassified	6.8847623202
UniRef50_R7MCB3: DNA repair protein RadC	6.8784368051
UniRef50_R7MCB3: DNA repair protein RadC|unclassified	6.8784368051
UniRef50_F5WTJ4: DNA repair protein RadC	6.8638413041
UniRef50_F5WTJ4: DNA repair protein RadC|unclassified	6.8638413041
UniRef50_Q3SM41	6.8618006559
UniRef50_Q3SM41|unclassified	6.8618006559
UniRef50_UPI00028A1564: metallophosphoesterase	6.8615717086
UniRef50_UPI00028A1564: metallophosphoesterase|unclassified	6.8615717086
UniRef50_A5IDE2	6.8511213242
UniRef50_A5IDE2|unclassified	6.8511213242
UniRef50_F5L1P7	6.8504599654
UniRef50_F5L1P7|unclassified	6.8504599654
UniRef50_R7CLP4: DNA repair protein RadC	6.8500450808
UniRef50_R7CLP4: DNA repair protein RadC|unclassified	6.8500450808
UniRef50_UPI0003B51BEF: endonuclease V	6.8474783561
UniRef50_UPI0003B51BEF: endonuclease V|unclassified	6.8474783561
UniRef50_UPI0002192D82: putative DNA polymerase involved in DNA repair, partial	6.8372550239
UniRef50_UPI0002192D82: putative DNA polymerase involved in DNA repair, partial|unclassified	6.8372550239
UniRef50_Q82IE6: Exodeoxyribonuclease 7 small subunit	6.8369954549
UniRef50_Q82IE6: Exodeoxyribonuclease 7 small subunit|unclassified	6.8369954549
UniRef50_UPI00046A2562: cysteine methyltransferase	6.8342388342
UniRef50_UPI00046A2562: cysteine methyltransferase|unclassified	6.8342388342
UniRef50_UPI000363CA12: hypothetical protein	6.8311829650
UniRef50_UPI000363CA12: hypothetical protein|unclassified	6.8311829650
UniRef50_R7GKY6: DNA repair protein RadC	6.8253716161
UniRef50_R7GKY6: DNA repair protein RadC|unclassified	6.8253716161
UniRef50_C9RJN2: RmuC domain protein	6.8234026588
UniRef50_C9RJN2: RmuC domain protein|unclassified	6.8234026588
UniRef50_I0R1B6	6.8159716626
UniRef50_I0R1B6|unclassified	6.8159716626
UniRef50_A4C3V2: DNA recombination protein rmuC	6.8117031416
UniRef50_A4C3V2: DNA recombination protein rmuC|unclassified	6.8117031416
UniRef50_B3PG73	6.7914146954
UniRef50_B3PG73|unclassified	6.7914146954
UniRef50_F0Z254: DNA repair protein RadC	6.7841243359
UniRef50_F0Z254: DNA repair protein RadC|unclassified	6.7841243359
UniRef50_F4KLC9: DNA repair protein RadC	6.7800055850
UniRef50_F4KLC9: DNA repair protein RadC|unclassified	6.7800055850
UniRef50_U2JYY3: RmuC domain protein	6.7771134820
UniRef50_U2JYY3: RmuC domain protein|unclassified	6.7771134820
UniRef50_K0CIP9: DNA repair protein RadC	6.7721113498
UniRef50_K0CIP9: DNA repair protein RadC|unclassified	6.7721113498
UniRef50_R6S4H8	6.7493119865
UniRef50_R6S4H8|unclassified	6.7493119865
UniRef50_N6YMH2	6.7482751732
UniRef50_N6YMH2|unclassified	6.7482751732
UniRef50_K1XB01: DNA repair protein radC-like protein	6.7372639991
UniRef50_K1XB01: DNA repair protein radC-like protein|unclassified	6.7372639991
UniRef50_Q889P9: Exodeoxyribonuclease 7 small subunit	6.7343967382
UniRef50_Q889P9: Exodeoxyribonuclease 7 small subunit|unclassified	6.7343967382
UniRef50_A0A052IBA6: RadC-like JAB domain protein	6.7296880642
UniRef50_A0A052IBA6: RadC-like JAB domain protein|unclassified	6.7296880642
UniRef50_UPI000305EC1A: hypothetical protein	6.7165730864
UniRef50_UPI000305EC1A: hypothetical protein|unclassified	6.7165730864
UniRef50_D3SAF8	6.7019065001
UniRef50_D3SAF8|unclassified	6.7019065001
UniRef50_F2LX10: RmuC-domain protein	6.6982964691
UniRef50_F2LX10: RmuC-domain protein|unclassified	6.6982964691
UniRef50_F2I413: DNA recombination protein RmuC	6.6940416332
UniRef50_F2I413: DNA recombination protein RmuC|unclassified	6.6940416332
UniRef50_L8JVT9: DNA repair protein RadC	6.6864296566
UniRef50_L8JVT9: DNA repair protein RadC|unclassified	6.6864296566
UniRef50_C9NPT2: DNA repair protein RadC	6.6837282307
UniRef50_C9NPT2: DNA repair protein RadC|unclassified	6.6837282307
UniRef50_UPI00037199F6: MULTISPECIES: hypothetical protein	6.6771268010
UniRef50_UPI00037199F6: MULTISPECIES: hypothetical protein|unclassified	6.6771268010
UniRef50_W4F312: DNA repair protein RadC	6.6733767246
UniRef50_W4F312: DNA repair protein RadC|unclassified	6.6733767246
UniRef50_UPI0002F22E56: hypothetical protein	6.6534106776
UniRef50_UPI0002F22E56: hypothetical protein|unclassified	6.6534106776
UniRef50_K1U1Z2: DNA repair protein RadC (Fragment)	6.6326199200
UniRef50_K1U1Z2: DNA repair protein RadC (Fragment)|unclassified	6.6326199200
UniRef50_UPI0004637278: hypothetical protein, partial	6.6282620276
UniRef50_UPI0004637278: hypothetical protein, partial|unclassified	6.6282620276
UniRef50_U2G1X2: DNA recombination protein RmuC	6.6181932277
UniRef50_U2G1X2: DNA recombination protein RmuC|unclassified	6.6181932277
UniRef50_X1ILB3: Marine sediment metagenome DNA, contig: S03H2_S03478	6.6130705309
UniRef50_X1ILB3: Marine sediment metagenome DNA, contig: S03H2_S03478|unclassified	6.6130705309
UniRef50_UPI000368DDAB: hypothetical protein	6.6129980311
UniRef50_UPI000368DDAB: hypothetical protein|unclassified	6.6129980311
UniRef50_R5T718	6.5937848133
UniRef50_R5T718|unclassified	6.5937848133
UniRef50_B0S4M4	6.5751968338
UniRef50_B0S4M4|unclassified	6.5751968338
UniRef50_UPI0003A57B20: cell envelope biogenesis protein AsmA	6.5706863747
UniRef50_UPI0003A57B20: cell envelope biogenesis protein AsmA|unclassified	6.5706863747
UniRef50_F6FPP4	6.5515268629
UniRef50_F6FPP4|unclassified	6.5515268629
UniRef50_K2DVI8: DNA repair protein RecN	6.5359477124
UniRef50_K2DVI8: DNA repair protein RecN|unclassified	6.5359477124
UniRef50_Q7UT53: RadC	6.5287189497
UniRef50_Q7UT53: RadC|unclassified	6.5287189497
UniRef50_UPI0003B77D2D: DNA repair protein RadA	6.4726641747
UniRef50_UPI0003B77D2D: DNA repair protein RadA|unclassified	6.4726641747
UniRef50_E7MMI7: DNA repair protein RadC	6.4695861358
UniRef50_E7MMI7: DNA repair protein RadC|unclassified	6.4695861358
UniRef50_UPI000382C6C0: hypothetical protein	6.4270630273
UniRef50_UPI000382C6C0: hypothetical protein|unclassified	6.4270630273
UniRef50_R5LHX9	6.4249351814
UniRef50_R5LHX9|unclassified	6.4249351814
UniRef50_W6U4L9	6.4130874795
UniRef50_W6U4L9|unclassified	6.4130874795
UniRef50_K9TBT8	6.4075246786
UniRef50_K9TBT8|unclassified	6.4075246786
UniRef50_UPI000464E07B: hypothetical protein	6.4036181935
UniRef50_UPI000464E07B: hypothetical protein|unclassified	6.4036181935
UniRef50_A0A011NQR2: Endonuclease III	6.4018752543
UniRef50_A0A011NQR2: Endonuclease III|unclassified	6.4018752543
UniRef50_UPI0001C37691: DNA repair protein RadC	6.3826246119
UniRef50_UPI0001C37691: DNA repair protein RadC|unclassified	6.3826246119
UniRef50_Q0GNI5: Smu18B	6.3721714598
UniRef50_Q0GNI5: Smu18B|unclassified	6.3721714598
UniRef50_UPI0002FB25A8: hypothetical protein	6.3721437109
UniRef50_UPI0002FB25A8: hypothetical protein|unclassified	6.3721437109
UniRef50_UPI00046CA418: hypothetical protein	6.3694267516
UniRef50_UPI00046CA418: hypothetical protein|unclassified	6.3694267516
UniRef50_UPI000474B6EB: hypothetical protein, partial	6.3694267516
UniRef50_UPI000474B6EB: hypothetical protein, partial|unclassified	6.3694267516
UniRef50_X1TR68: Marine sediment metagenome DNA, contig: S12H4_S04591 (Fragment)	6.3654071507
UniRef50_X1TR68: Marine sediment metagenome DNA, contig: S12H4_S04591 (Fragment)|unclassified	6.3654071507
UniRef50_D4XWF6	6.3640136332
UniRef50_D4XWF6|unclassified	6.3640136332
UniRef50_R9MDM9: DNA repair protein RadC	6.3564068965
UniRef50_R9MDM9: DNA repair protein RadC|unclassified	6.3564068965
UniRef50_I0I2Q1	6.3510142403
UniRef50_I0I2Q1|unclassified	6.3510142403
UniRef50_Q9HKY3: Bifunctional methyltransferase/endonuclease	6.3468425098
UniRef50_Q9HKY3: Bifunctional methyltransferase/endonuclease|unclassified	6.3468425098
UniRef50_K8Z7G5: DNA repair protein RadC	6.3434814731
UniRef50_K8Z7G5: DNA repair protein RadC|unclassified	6.3434814731
UniRef50_Q6MBP3	6.3366762125
UniRef50_Q6MBP3|unclassified	6.3366762125
UniRef50_D0D9W0: Exopolysaccharide biosynthesis domain protein	6.3346350964
UniRef50_D0D9W0: Exopolysaccharide biosynthesis domain protein|unclassified	6.3346350964
UniRef50_A8ZYJ4: DNA repair protein RadC	6.3210740878
UniRef50_A8ZYJ4: DNA repair protein RadC|unclassified	6.3210740878
UniRef50_A6EEF9: DNA repair protein	6.3200442903
UniRef50_A6EEF9: DNA repair protein|unclassified	6.3200442903
UniRef50_U1RM60: RmuC domain protein	6.3164849784
UniRef50_U1RM60: RmuC domain protein|unclassified	6.3164849784
UniRef50_UPI00014AD6BB: MULTISPECIES: single-stranded DNA-binding protein	6.2958648827
UniRef50_UPI00014AD6BB: MULTISPECIES: single-stranded DNA-binding protein|unclassified	6.2958648827
UniRef50_I0IIA0	6.2889639898
UniRef50_I0IIA0|unclassified	6.2889639898
UniRef50_UPI0001FFF745: exonuclease	6.2865913035
UniRef50_UPI0001FFF745: exonuclease|unclassified	6.2865913035
UniRef50_W2CKV2	6.2828057144
UniRef50_W2CKV2|unclassified	6.2828057144
UniRef50_G8W7N6	6.2643016768
UniRef50_G8W7N6|unclassified	6.2643016768
UniRef50_V9H472	6.2624320664
UniRef50_V9H472|unclassified	6.2624320664
UniRef50_F7KAP7: DNA repair protein RadC	6.2623511479
UniRef50_F7KAP7: DNA repair protein RadC|unclassified	6.2623511479
UniRef50_H8KNS2: DNA repair protein	6.2596895338
UniRef50_H8KNS2: DNA repair protein|unclassified	6.2596895338
UniRef50_R5ZX42	6.2547512284
UniRef50_R5ZX42|unclassified	6.2547512284
UniRef50_R5IXJ0: DNA repair protein RadC	6.2401147102
UniRef50_R5IXJ0: DNA repair protein RadC|unclassified	6.2401147102
UniRef50_C6I000	6.2321126310
UniRef50_C6I000|unclassified	6.2321126310
UniRef50_UPI0004696C55: DNA recombinase	6.2120738535
UniRef50_UPI0004696C55: DNA recombinase|unclassified	6.2120738535
UniRef50_H8EN86	6.2050278543
UniRef50_H8EN86|unclassified	6.2050278543
UniRef50_K0YER9	6.2003861483
UniRef50_K0YER9|unclassified	6.2003861483
UniRef50_A5EW20	6.1873333429
UniRef50_A5EW20|unclassified	6.1873333429
UniRef50_UPI0003B30934: DNA recombination protein RmuC	6.1756670682
UniRef50_UPI0003B30934: DNA recombination protein RmuC|unclassified	6.1756670682
UniRef50_S2PI88	6.1713582303
UniRef50_S2PI88|unclassified	6.1713582303
UniRef50_UPI00046D0CDF: hypothetical protein	6.1268881291
UniRef50_UPI00046D0CDF: hypothetical protein|unclassified	6.1268881291
UniRef50_UPI00037FD556: hypothetical protein	6.1142936498
UniRef50_UPI00037FD556: hypothetical protein|unclassified	6.1142936498
UniRef50_S9SLM3	6.0893256617
UniRef50_S9SLM3|unclassified	6.0893256617
UniRef50_I7K8E2	6.0673475579
UniRef50_I7K8E2|unclassified	6.0673475579
UniRef50_D5BUR2: Alkylated DNA repair protein-like protein	6.0653608754
UniRef50_D5BUR2: Alkylated DNA repair protein-like protein|unclassified	6.0653608754
UniRef50_UPI0003790AF2: hypothetical protein	6.0643270482
UniRef50_UPI0003790AF2: hypothetical protein|unclassified	6.0643270482
UniRef50_UPI0003785919: hypothetical protein	6.0625237997
UniRef50_UPI0003785919: hypothetical protein|unclassified	6.0625237997
UniRef50_UPI00037FAAFF: hypothetical protein	6.0559530853
UniRef50_UPI00037FAAFF: hypothetical protein|unclassified	6.0559530853
UniRef50_S4XQ59	6.0534806797
UniRef50_S4XQ59|unclassified	6.0534806797
UniRef50_UPI000369A9E8: single-stranded DNA-binding protein	6.0521042583
UniRef50_UPI000369A9E8: single-stranded DNA-binding protein|unclassified	6.0521042583
UniRef50_R7IBJ9	6.0346179844
UniRef50_R7IBJ9|unclassified	6.0346179844
UniRef50_UPI000410E566: hypothetical protein	6.0345937078
UniRef50_UPI000410E566: hypothetical protein|unclassified	6.0345937078
UniRef50_UPI0000E0EED3: Ada family regulatory protein	6.0313981391
UniRef50_UPI0000E0EED3: Ada family regulatory protein|unclassified	6.0313981391
UniRef50_UPI000464C07B: hypothetical protein	6.0306840025
UniRef50_UPI000464C07B: hypothetical protein|unclassified	6.0306840025
UniRef50_D4JA77: DNA repair proteins	6.0194429562
UniRef50_D4JA77: DNA repair proteins|unclassified	6.0194429562
UniRef50_K1T2N9	6.0123284510
UniRef50_K1T2N9|unclassified	6.0123284510
UniRef50_B1ZC49: SMC domain protein	6.0115782151
UniRef50_B1ZC49: SMC domain protein|unclassified	6.0115782151
UniRef50_T0UKW6: DNA repair protein	6.0061945678
UniRef50_T0UKW6: DNA repair protein|unclassified	6.0061945678
UniRef50_S2R499	5.9959007476
UniRef50_S2R499|unclassified	5.9959007476
UniRef50_X1NP65: Marine sediment metagenome DNA, contig: S06H3_S07349 (Fragment)	5.9951663892
UniRef50_X1NP65: Marine sediment metagenome DNA, contig: S06H3_S07349 (Fragment)|unclassified	5.9951663892
UniRef50_UPI0003481D30: MULTISPECIES: hypothetical protein	5.9930437667
UniRef50_UPI0003481D30: MULTISPECIES: hypothetical protein|unclassified	5.9930437667
UniRef50_UPI0003F6F849: hypothetical protein	5.9725923622
UniRef50_UPI0003F6F849: hypothetical protein|unclassified	5.9725923622
UniRef50_V3LRM0	5.9666590654
UniRef50_V3LRM0|unclassified	5.9666590654
UniRef50_X1AAX7: Marine sediment metagenome DNA, contig: S01H4_C00836	5.9387944412
UniRef50_X1AAX7: Marine sediment metagenome DNA, contig: S01H4_C00836|unclassified	5.9387944412
UniRef50_T0QKQ8: DNA repair protein RadC (Fragment)	5.9338488691
UniRef50_T0QKQ8: DNA repair protein RadC (Fragment)|unclassified	5.9338488691
UniRef50_B9LVQ4: Metallophosphoesterase	5.9233533275
UniRef50_B9LVQ4: Metallophosphoesterase|unclassified	5.9233533275
UniRef50_U2T1K7	5.9153160663
UniRef50_U2T1K7|unclassified	5.9153160663
UniRef50_Q5FNC5: DNA repair protein RadC	5.9032362841
UniRef50_Q5FNC5: DNA repair protein RadC|unclassified	5.9032362841
UniRef50_X1CFJ1: Marine sediment metagenome DNA, contig: S01H4_S04057	5.9018442456
UniRef50_X1CFJ1: Marine sediment metagenome DNA, contig: S01H4_S04057|unclassified	5.9018442456
UniRef50_UPI0003FB21F1: hypothetical protein	5.8922330562
UniRef50_UPI0003FB21F1: hypothetical protein|unclassified	5.8922330562
UniRef50_UPI000468C9B4: hypothetical protein	5.8868056895
UniRef50_UPI000468C9B4: hypothetical protein|unclassified	5.8868056895
UniRef50_J6F469	5.8823529412
UniRef50_J6F469|unclassified	5.8823529412
UniRef50_B2KC67	5.8483285804
UniRef50_B2KC67|unclassified	5.8483285804
UniRef50_UPI000472020D: hypothetical protein, partial	5.8479532164
UniRef50_UPI000472020D: hypothetical protein, partial|unclassified	5.8479532164
UniRef50_T0ZUD0: RmuC domain protein	5.8463936019
UniRef50_T0ZUD0: RmuC domain protein|unclassified	5.8463936019
UniRef50_G5GGY7	5.8457545351
UniRef50_G5GGY7|unclassified	5.8457545351
UniRef50_K2BSS6	5.8360799769
UniRef50_K2BSS6|unclassified	5.8360799769
UniRef50_G0GW34: DNA repair protein RadC	5.8360382851
UniRef50_G0GW34: DNA repair protein RadC|unclassified	5.8360382851
UniRef50_B1GYT8: DNA recombination protein RmuC homolog	5.8282036405
UniRef50_B1GYT8: DNA recombination protein RmuC homolog|unclassified	5.8282036405
UniRef50_UPI0003678452: hypothetical protein	5.8181314535
UniRef50_UPI0003678452: hypothetical protein|unclassified	5.8181314535
UniRef50_UPI000464111A: single-stranded DNA-binding protein, partial	5.7993064556
UniRef50_UPI000464111A: single-stranded DNA-binding protein, partial|unclassified	5.7993064556
UniRef50_S3WYW9	5.7848248955
UniRef50_S3WYW9|unclassified	5.7848248955
UniRef50_UPI000479830E: hypothetical protein	5.7831633485
UniRef50_UPI000479830E: hypothetical protein|unclassified	5.7831633485
UniRef50_UPI00029AF2FC: DNA polymerase IV	5.7803468208
UniRef50_UPI00029AF2FC: DNA polymerase IV|unclassified	5.7803468208
UniRef50_C0SYL7	5.7630766496
UniRef50_C0SYL7|unclassified	5.7630766496
UniRef50_E1VQ29: DNA recombination protein RmuC homolog	5.7462082745
UniRef50_E1VQ29: DNA recombination protein RmuC homolog|unclassified	5.7462082745
UniRef50_H0I053: DNA polymerase IV	5.7379337146
UniRef50_H0I053: DNA polymerase IV|unclassified	5.7379337146
UniRef50_UPI00016A67BA: hypothetical protein, partial	5.7281812912
UniRef50_UPI00016A67BA: hypothetical protein, partial|unclassified	5.7281812912
UniRef50_C9RLS9: DNA repair protein RadC	5.7273499582
UniRef50_C9RLS9: DNA repair protein RadC|unclassified	5.7273499582
UniRef50_P34720: Modification methylase MboIA	5.7235877745
UniRef50_P34720: Modification methylase MboIA|unclassified	5.7235877745
UniRef50_C0RNR8	5.7191209643
UniRef50_C0RNR8|unclassified	5.7191209643
UniRef50_UPI000479E7DD: hypothetical protein	5.6920630046
UniRef50_UPI000479E7DD: hypothetical protein|unclassified	5.6920630046
UniRef50_F8DS42: Replication protein	5.6661414506
UniRef50_F8DS42: Replication protein|unclassified	5.6661414506
UniRef50_M1MPP3	5.6446438227
UniRef50_M1MPP3|unclassified	5.6446438227
UniRef50_X0TTH6: Marine sediment metagenome DNA, contig: S01H1_L05356 (Fragment)	5.6271515426
UniRef50_X0TTH6: Marine sediment metagenome DNA, contig: S01H1_L05356 (Fragment)|unclassified	5.6271515426
UniRef50_UPI0003711B92: hypothetical protein, partial	5.6202256404
