# Gene Family	SampleDNA-replication_Abundance-CPM
UniRef50_UPI0004082BF1: hypothetical protein	20.0671
UniRef50_UPI0004082BF1: hypothetical protein|unclassified	20.0671
UniRef50_V3TVU8	20.025
UniRef50_V3TVU8|unclassified	20.025
UniRef50_J1HP81: Primosomal protein N' family protein (Fragment)	19.9084
UniRef50_J1HP81: Primosomal protein N' family protein (Fragment)|unclassified	19.9084
UniRef50_UPI0003B69CEE: DNA polymerase III subunit epsilon	19.876
UniRef50_UPI0003B69CEE: DNA polymerase III subunit epsilon|unclassified	19.876
UniRef50_UPI00040ED481: hypothetical protein	19.8706
UniRef50_UPI00040ED481: hypothetical protein|unclassified	19.8706
UniRef50_UPI00036A3544: hypothetical protein	19.7683
UniRef50_UPI00036A3544: hypothetical protein|unclassified	19.7683
UniRef50_B1GAL4: Exodeoxyribonuclease V, RecC subunit	19.7533
UniRef50_B1GAL4: Exodeoxyribonuclease V, RecC subunit|unclassified	19.7533
UniRef50_UPI000404F578: DNA polymerase III subunit epsilon	19.7182
UniRef50_UPI000404F578: DNA polymerase III subunit epsilon|unclassified	19.7182
UniRef50_X8BYV7: Putative primosome assembly protein PriA	19.7048
UniRef50_X8BYV7: Putative primosome assembly protein PriA|unclassified	19.7048
UniRef50_UPI00036255C9: hypothetical protein	19.7014
UniRef50_UPI00036255C9: hypothetical protein|unclassified	19.7014
UniRef50_F2MX66: TOPRIM domain-containing protein	19.6598
UniRef50_F2MX66: TOPRIM domain-containing protein|unclassified	19.6598
UniRef50_UPI00036DF9DF: hypothetical protein	19.5676
UniRef50_UPI00036DF9DF: hypothetical protein|unclassified	19.5676
UniRef50_C9KSE8	19.5381
UniRef50_C9KSE8|unclassified	19.5381
UniRef50_B3CN07: Crossover junction endodeoxyribonuclease RuvC	19.5353
UniRef50_B3CN07: Crossover junction endodeoxyribonuclease RuvC|unclassified	19.5353
UniRef50_B7CLF6	19.4726
UniRef50_B7CLF6|unclassified	19.4726
UniRef50_Q1YXL0: Primosomal replication protein N	19.4726
UniRef50_Q1YXL0: Primosomal replication protein N|unclassified	19.4726
UniRef50_UPI0003B31B88: primosome assembly protein PriA	19.4614
UniRef50_UPI0003B31B88: primosome assembly protein PriA|unclassified	19.4614
UniRef50_UPI00037EDAC4: DNA replication protein, partial	19.3902
UniRef50_UPI00037EDAC4: DNA replication protein, partial|unclassified	19.3902
UniRef50_G2KR01	19.3509
UniRef50_G2KR01|unclassified	19.3509
UniRef50_T2A478	19.3379
UniRef50_T2A478|unclassified	19.3379
UniRef50_N1V4J0: Primosomal protein N (Fragment)	19.286
UniRef50_N1V4J0: Primosomal protein N (Fragment)|unclassified	19.286
UniRef50_S6SX61: Exodeoxyribonuclease V subunit beta (Fragment)	19.2728
UniRef50_S6SX61: Exodeoxyribonuclease V subunit beta (Fragment)|unclassified	19.2728
UniRef50_UPI000380E359: hypothetical protein	19.2355
UniRef50_UPI000380E359: hypothetical protein|unclassified	19.2355
UniRef50_Q2NRX5: Putative phage replication protein	19.2213
UniRef50_Q2NRX5: Putative phage replication protein|unclassified	19.2213
UniRef50_B8IIT6	19.2035
UniRef50_B8IIT6|unclassified	19.2035
UniRef50_Q3M1Z4	19.1855
UniRef50_Q3M1Z4|unclassified	19.1855
UniRef50_UPI0002F00365: hypothetical protein	19.174
UniRef50_UPI0002F00365: hypothetical protein|unclassified	19.174
UniRef50_E8KJQ0	19.1736
UniRef50_E8KJQ0|unclassified	19.1736
UniRef50_A0A024QPA6	19.1626
UniRef50_A0A024QPA6|unclassified	19.1626
UniRef50_UPI00016A44E7: putative exodeoxyribonuclease V beta chain, partial	19.1259
UniRef50_UPI00016A44E7: putative exodeoxyribonuclease V beta chain, partial|unclassified	19.1259
UniRef50_J5KSL3: Primosome assembly protein PriA	19.053
UniRef50_J5KSL3: Primosome assembly protein PriA|unclassified	19.053
UniRef50_A0A034UGF5: Primosome assembly protein PriA	19.051
UniRef50_A0A034UGF5: Primosome assembly protein PriA|unclassified	19.051
UniRef50_W8F0Y2	19.049
UniRef50_W8F0Y2|unclassified	19.049
UniRef50_UPI00036B50E6: hypothetical protein	19.0261
UniRef50_UPI00036B50E6: hypothetical protein|unclassified	19.0261
UniRef50_U5YQL0: Phirv2 prophage protein	19.0028
UniRef50_U5YQL0: Phirv2 prophage protein|unclassified	19.0028
UniRef50_UPI00016ACB0F: putative exodeoxyribonuclease V alpha chain, partial	18.9891
UniRef50_UPI00016ACB0F: putative exodeoxyribonuclease V alpha chain, partial|unclassified	18.9891
UniRef50_W7SVC9: Primosomal protein N	18.9781
UniRef50_W7SVC9: Primosomal protein N|unclassified	18.9781
UniRef50_E4RTY3: DNA polymerase III gamma/tau subunits-like protein	18.9425
UniRef50_E4RTY3: DNA polymerase III gamma/tau subunits-like protein|unclassified	18.9425
UniRef50_W5IIL6	18.7151
UniRef50_W5IIL6|unclassified	18.7151
UniRef50_F0GC93: Exodeoxyribonuclease V, gamma subunit (Fragment)	18.7086
UniRef50_F0GC93: Exodeoxyribonuclease V, gamma subunit (Fragment)|unclassified	18.7086
UniRef50_Y1JWP7	18.6572
UniRef50_Y1JWP7|unclassified	18.6572
UniRef50_D1QRB7	18.5375
UniRef50_D1QRB7|unclassified	18.5375
UniRef50_UPI0001C395E4: chromosomal replication initiator protein DnaA, partial	18.5178
UniRef50_UPI0001C395E4: chromosomal replication initiator protein DnaA, partial|unclassified	18.5178
UniRef50_Q4UPZ5	18.5133
UniRef50_Q4UPZ5|unclassified	18.5133
UniRef50_UPI00047AAFA3: hypothetical protein	18.4714
UniRef50_UPI00047AAFA3: hypothetical protein|unclassified	18.4714
UniRef50_UPI000377E421: hypothetical protein	18.4673
UniRef50_UPI000377E421: hypothetical protein|unclassified	18.4673
UniRef50_UPI00036F23AD: hypothetical protein	18.4264
UniRef50_UPI00036F23AD: hypothetical protein|unclassified	18.4264
UniRef50_C1HYJ3: Predicted protein	18.3834
UniRef50_C1HYJ3: Predicted protein|unclassified	18.3834
UniRef50_A1T533	18.2659
UniRef50_A1T533|unclassified	18.2659
UniRef50_UPI000419F323: hypothetical protein	18.2618
UniRef50_UPI000419F323: hypothetical protein|unclassified	18.2618
UniRef50_C1DM13: Excinuclease ABC protein, subunit C	18.2398
UniRef50_C1DM13: Excinuclease ABC protein, subunit C|unclassified	18.2398
UniRef50_L8TT40: Primosomal protein N (Fragment)	18.2057
UniRef50_L8TT40: Primosomal protein N (Fragment)|unclassified	18.2057
UniRef50_M5TPF4	18.1678
UniRef50_M5TPF4|unclassified	18.1678
UniRef50_E6JBL7: Primosome assembly protein PriA	18.1666
UniRef50_E6JBL7: Primosome assembly protein PriA|unclassified	18.1666
UniRef50_F5SXQ2: ATPase involved in DNA replication	18.158
UniRef50_F5SXQ2: ATPase involved in DNA replication|unclassified	18.158
UniRef50_A0A009HZ94: Uracil-DNA glycosylase, family 4 domain protein	18.0997
UniRef50_A0A009HZ94: Uracil-DNA glycosylase, family 4 domain protein|unclassified	18.0997
UniRef50_UPI00046852DC: hypothetical protein	18.0683
UniRef50_UPI00046852DC: hypothetical protein|unclassified	18.0683
UniRef50_UPI00016B2545: ATPase AAA	18.0642
UniRef50_UPI00016B2545: ATPase AAA|unclassified	18.0642
UniRef50_U7QLX7: Bacterial dnaA family protein	17.9786
UniRef50_U7QLX7: Bacterial dnaA family protein|unclassified	17.9786
UniRef50_D3VRN4: DNA polymerase III subunit	17.968
UniRef50_D3VRN4: DNA polymerase III subunit|unclassified	17.968
UniRef50_F6ALF8	17.9629
UniRef50_F6ALF8|unclassified	17.9629
UniRef50_D3LQ42: Putative primosomal protein N (Fragment)	17.9538
UniRef50_D3LQ42: Putative primosomal protein N (Fragment)|unclassified	17.9538
UniRef50_X1AMI7: Marine sediment metagenome DNA, contig: S01H4_C01847	17.9529
UniRef50_X1AMI7: Marine sediment metagenome DNA, contig: S01H4_C01847|unclassified	17.9529
UniRef50_U7QZ82	17.9369
UniRef50_U7QZ82|unclassified	17.9369
UniRef50_M1X1L0: DNA primase	17.9339
UniRef50_M1X1L0: DNA primase|unclassified	17.9339
UniRef50_K8G131	17.9312
UniRef50_K8G131|unclassified	17.9312
UniRef50_J9C191: DNA primase (Fragment)	17.9159
UniRef50_J9C191: DNA primase (Fragment)|unclassified	17.9159
UniRef50_K9V992	17.8725
UniRef50_K9V992|unclassified	17.8725
UniRef50_J3Z418: Primosomal replication protein N	17.8182
UniRef50_J3Z418: Primosomal replication protein N|unclassified	17.8182
UniRef50_H2ERT7: Putative antirestriction protein	17.8114
UniRef50_H2ERT7: Putative antirestriction protein|unclassified	17.8114
UniRef50_K0G3S4: Primase	17.778
UniRef50_K0G3S4: Primase|unclassified	17.778
UniRef50_L0PZ77	17.7516
UniRef50_L0PZ77|unclassified	17.7516
UniRef50_UPI0004728C00: hypothetical protein	17.6518
UniRef50_UPI0004728C00: hypothetical protein|unclassified	17.6518
UniRef50_UPI0000166EB3: DNA polymerase	17.6454
UniRef50_UPI0000166EB3: DNA polymerase|unclassified	17.6454
UniRef50_UPI000475928D: hypothetical protein	17.6173
UniRef50_UPI000475928D: hypothetical protein|unclassified	17.6173
UniRef50_R4Y675: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome	17.6116
UniRef50_R4Y675: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome|unclassified	17.6116
UniRef50_Q3EPI9: Primosomal protein N	17.5617
UniRef50_Q3EPI9: Primosomal protein N|unclassified	17.5617
UniRef50_UPI00036FDC7F: hypothetical protein	17.5122
UniRef50_UPI00036FDC7F: hypothetical protein|unclassified	17.5122
UniRef50_UPI00036D5B57: hypothetical protein	17.4848
UniRef50_UPI00036D5B57: hypothetical protein|unclassified	17.4848
UniRef50_S8U9A7	17.4817
UniRef50_S8U9A7|unclassified	17.4817
UniRef50_UPI000478D7DB: DNA polymerase III subunit delta''	17.4423
UniRef50_UPI000478D7DB: DNA polymerase III subunit delta''|unclassified	17.4423
UniRef50_D5RPP7	17.4204
UniRef50_D5RPP7|unclassified	17.4204
UniRef50_T5ZH20	17.4066
UniRef50_T5ZH20|unclassified	17.4066
UniRef50_W2CUA4	17.4034
UniRef50_W2CUA4|unclassified	17.4034
UniRef50_V4US80	17.3991
UniRef50_V4US80|unclassified	17.3991
UniRef50_W1J8F8	17.3813
UniRef50_W1J8F8|unclassified	17.3813
UniRef50_G4BHG8: Phage DNA primase-like protein	17.3744
UniRef50_G4BHG8: Phage DNA primase-like protein|unclassified	17.3744
UniRef50_D5Z3P1: Primosomal protein N' (Replication factor Y)	17.3728
UniRef50_D5Z3P1: Primosomal protein N' (Replication factor Y)|unclassified	17.3728
UniRef50_UPI00041D20E2: hypothetical protein	17.3624
UniRef50_UPI00041D20E2: hypothetical protein|unclassified	17.3624
UniRef50_UPI000466D9A0: hypothetical protein	17.3239
UniRef50_UPI000466D9A0: hypothetical protein|unclassified	17.3239
UniRef50_X8DUM8: Putative DNA polymerase III epsilon subunit domain protein	17.2703
UniRef50_X8DUM8: Putative DNA polymerase III epsilon subunit domain protein|unclassified	17.2703
UniRef50_UPI0003B49DC1: primosome assembly protein PriA	17.2128
UniRef50_UPI0003B49DC1: primosome assembly protein PriA|unclassified	17.2128
UniRef50_N1ZVZ2	17.2078
UniRef50_N1ZVZ2|unclassified	17.2078
UniRef50_I4SCP0: Replication protein	17.2025
UniRef50_I4SCP0: Replication protein|unclassified	17.2025
UniRef50_UPI000467AEDA: ATPase AAA	17.1831
UniRef50_UPI000467AEDA: ATPase AAA|unclassified	17.1831
UniRef50_UPI00036E9414: hypothetical protein	17.167
UniRef50_UPI00036E9414: hypothetical protein|unclassified	17.167
UniRef50_F7MRF3: DNA repair protein RecN	17.1607
UniRef50_F7MRF3: DNA repair protein RecN|unclassified	17.1607
UniRef50_X1U2U8: Marine sediment metagenome DNA, contig: S12H4_S04948 (Fragment)	17.1592
UniRef50_X1U2U8: Marine sediment metagenome DNA, contig: S12H4_S04948 (Fragment)|unclassified	17.1592
UniRef50_A9BYM8	17.1575
UniRef50_A9BYM8|unclassified	17.1575
UniRef50_K9WPD4	17.1481
UniRef50_K9WPD4|unclassified	17.1481
UniRef50_E9UR36: Primosomal protein N	16.9768
UniRef50_E9UR36: Primosomal protein N|unclassified	16.9768
UniRef50_UPI00034D61D3: hypothetical protein	16.9176
UniRef50_UPI00034D61D3: hypothetical protein|unclassified	16.9176
UniRef50_X8AM92: Putative primosomal protein N	16.895
UniRef50_X8AM92: Putative primosomal protein N|unclassified	16.895
UniRef50_R4M7J1	16.8941
UniRef50_R4M7J1|unclassified	16.8941
UniRef50_UPI0003B56CC3: Holliday junction resolvase	16.8862
UniRef50_UPI0003B56CC3: Holliday junction resolvase|unclassified	16.8862
UniRef50_H1D6A9	16.8644
UniRef50_H1D6A9|unclassified	16.8644
UniRef50_W1YCZ6	16.8529
UniRef50_W1YCZ6|unclassified	16.8529
UniRef50_F9PST8: Putative DNA primase	16.7573
UniRef50_F9PST8: Putative DNA primase|unclassified	16.7573
UniRef50_X8FE03: Putative primosome assembly protein PriA	16.7204
UniRef50_X8FE03: Putative primosome assembly protein PriA|unclassified	16.7204
UniRef50_H1Q264	16.6884
UniRef50_H1Q264|unclassified	16.6884
UniRef50_C6PZE5: DNA polymerase III subunit delta	16.6834
UniRef50_C6PZE5: DNA polymerase III subunit delta|unclassified	16.6834
UniRef50_UPI0004710D6D: hypothetical protein	16.6707
UniRef50_UPI0004710D6D: hypothetical protein|unclassified	16.6707
UniRef50_UPI00042188CB: DNA primase	16.62
UniRef50_UPI00042188CB: DNA primase|unclassified	16.62
UniRef50_S7T3L7: Replication protein 15	16.5823
UniRef50_S7T3L7: Replication protein 15|unclassified	16.5823
UniRef50_G4AIU3	16.5666
UniRef50_G4AIU3|unclassified	16.5666
UniRef50_F7K111	16.556
UniRef50_F7K111|unclassified	16.556
UniRef50_R9VYG7	16.5086
UniRef50_R9VYG7|unclassified	16.5086
UniRef50_UPI000362F20F: hypothetical protein, partial	16.3543
UniRef50_UPI000362F20F: hypothetical protein, partial|unclassified	16.3543
UniRef50_C3WYV1	16.35
UniRef50_C3WYV1|unclassified	16.35
UniRef50_Q5F6C5	16.3264
UniRef50_Q5F6C5|unclassified	16.3264
UniRef50_UPI00046FE30D: hypothetical protein	16.3233
UniRef50_UPI00046FE30D: hypothetical protein|unclassified	16.3233
UniRef50_UPI00034AE0E4: hypothetical protein	16.3204
UniRef50_UPI00034AE0E4: hypothetical protein|unclassified	16.3204
UniRef50_UPI0003B6B198: chromosomal replication initiation protein	16.2466
UniRef50_UPI0003B6B198: chromosomal replication initiation protein|unclassified	16.2466
UniRef50_B5YJT8: Crossover junction endodeoxyribonuclease RuvC	16.2297
UniRef50_B5YJT8: Crossover junction endodeoxyribonuclease RuvC|unclassified	16.2297
UniRef50_X7FRP7	16.0763
UniRef50_X7FRP7|unclassified	16.0763
UniRef50_D3AU87	15.9584
UniRef50_D3AU87|unclassified	15.9584
UniRef50_UPI00037FA908: hypothetical protein	15.9387
UniRef50_UPI00037FA908: hypothetical protein|unclassified	15.9387
UniRef50_UPI000465EB27: hypothetical protein	15.9246
UniRef50_UPI000465EB27: hypothetical protein|unclassified	15.9246
UniRef50_D8NZJ2: Hypothethical protein	15.8533
UniRef50_D8NZJ2: Hypothethical protein|unclassified	15.8533
UniRef50_UPI00046EC0BD: hypothetical protein	15.7295
UniRef50_UPI00046EC0BD: hypothetical protein|unclassified	15.7295
UniRef50_E7IAV5	15.6807
UniRef50_E7IAV5|unclassified	15.6807
UniRef50_UPI00037ECCDF: hypothetical protein	15.5954
UniRef50_UPI00037ECCDF: hypothetical protein|unclassified	15.5954
UniRef50_F5TB15: DNA primase catalytic core, N-terminal domain protein	15.4903
UniRef50_F5TB15: DNA primase catalytic core, N-terminal domain protein|unclassified	15.4903
UniRef50_UPI00047C5937: hypothetical protein	15.4659
UniRef50_UPI00047C5937: hypothetical protein|unclassified	15.4659
UniRef50_F4KQR4: DNA polymerase III gamma/tau subunits-like protein	15.4613
UniRef50_F4KQR4: DNA polymerase III gamma/tau subunits-like protein|unclassified	15.4613
UniRef50_V7KJP9: Preprotein translocase subunit SecA (Fragment)	15.4474
UniRef50_V7KJP9: Preprotein translocase subunit SecA (Fragment)|unclassified	15.4474
UniRef50_UPI00037E3A08: hypothetical protein	15.4095
UniRef50_UPI00037E3A08: hypothetical protein|unclassified	15.4095
UniRef50_UPI000369B90E: hypothetical protein	15.3871
UniRef50_UPI000369B90E: hypothetical protein|unclassified	15.3871
UniRef50_UPI0004667612: hypothetical protein, partial	15.3433
UniRef50_UPI0004667612: hypothetical protein, partial|unclassified	15.3433
UniRef50_C2UPB6	15.3396
UniRef50_C2UPB6|unclassified	15.3396
UniRef50_R6J2Q9: ATPase involved in DNA replication	15.281
UniRef50_R6J2Q9: ATPase involved in DNA replication|unclassified	15.281
UniRef50_E1NM40: Chromosomal replication initiation protein	15.2772
UniRef50_E1NM40: Chromosomal replication initiation protein|unclassified	15.2772
UniRef50_A0A029C743	15.27
UniRef50_A0A029C743|unclassified	15.27
UniRef50_UPI00041301C5: DNA polymerase III subunit epsilon	15.2221
UniRef50_UPI00041301C5: DNA polymerase III subunit epsilon|unclassified	15.2221
UniRef50_V5PJ94: DNA polymerase III subunit epsilon	15.2154
UniRef50_V5PJ94: DNA polymerase III subunit epsilon|unclassified	15.2154
UniRef50_UPI00036F3CE0: hypothetical protein	15.1972
UniRef50_UPI00036F3CE0: hypothetical protein|unclassified	15.1972
UniRef50_UPI0002F7E249: hypothetical protein	15.1394
UniRef50_UPI0002F7E249: hypothetical protein|unclassified	15.1394
UniRef50_UPI00036C901F: MULTISPECIES: hypothetical protein	15.1088
UniRef50_UPI00036C901F: MULTISPECIES: hypothetical protein|unclassified	15.1088
UniRef50_C6WE00	15.0791
UniRef50_C6WE00|unclassified	15.0791
UniRef50_UPI0001FFEC52: hypothetical protein, partial	15.0625
UniRef50_UPI0001FFEC52: hypothetical protein, partial|unclassified	15.0625
UniRef50_UPI00016B07FC: exodeoxyribonuclease V, beta subunit, partial	14.9337
UniRef50_UPI00016B07FC: exodeoxyribonuclease V, beta subunit, partial|unclassified	14.9337
UniRef50_UPI0003F8CDF1: DNA polymerase III subunit delta	14.9207
UniRef50_UPI0003F8CDF1: DNA polymerase III subunit delta|unclassified	14.9207
UniRef50_C5CCE4: Primosomal protein N	14.8478
UniRef50_C5CCE4: Primosomal protein N|unclassified	14.8478
UniRef50_N6UED0: DNA polymerase III, alpha chain	14.8455
UniRef50_N6UED0: DNA polymerase III, alpha chain|unclassified	14.8455
UniRef50_L8BP60	14.738
UniRef50_L8BP60|unclassified	14.738
UniRef50_UPI0002F8F858: hypothetical protein	14.6234
UniRef50_UPI0002F8F858: hypothetical protein|unclassified	14.6234
UniRef50_V2ZFU2	14.5824
UniRef50_V2ZFU2|unclassified	14.5824
UniRef50_B5VVK6: GUN4 domain protein	14.5246
UniRef50_B5VVK6: GUN4 domain protein|unclassified	14.5246
UniRef50_UPI0003F7EA32: hypothetical protein	14.4966
UniRef50_UPI0003F7EA32: hypothetical protein|unclassified	14.4966
UniRef50_C8RUC3: Nucleic acid-binding domain protein (Fragment)	14.472
UniRef50_C8RUC3: Nucleic acid-binding domain protein (Fragment)|unclassified	14.472
UniRef50_E3A451	14.4472
UniRef50_E3A451|unclassified	14.4472
UniRef50_UPI0004625BCA: hypothetical protein	14.3811
UniRef50_UPI0004625BCA: hypothetical protein|unclassified	14.3811
UniRef50_B0MUZ7	14.3737
UniRef50_B0MUZ7|unclassified	14.3737
UniRef50_UPI00035E2E36: hypothetical protein	14.3733
UniRef50_UPI00035E2E36: hypothetical protein|unclassified	14.3733
UniRef50_E2CCY7: DNA polymerase III subunit delta'	14.3443
UniRef50_E2CCY7: DNA polymerase III subunit delta'|unclassified	14.3443
UniRef50_W1H4I7: Excinuclease cho (Excinuclease ABC alternative C subunit)	14.3339
UniRef50_W1H4I7: Excinuclease cho (Excinuclease ABC alternative C subunit)|unclassified	14.3339
UniRef50_K0FWE1	14.3226
UniRef50_K0FWE1|unclassified	14.3226
UniRef50_Q2JJG3: ISSoc9, transposase	14.2985
UniRef50_Q2JJG3: ISSoc9, transposase|unclassified	14.2985
UniRef50_A0A011PY19	14.2897
UniRef50_A0A011PY19|unclassified	14.2897
UniRef50_C4LIT1: Primosomal protein N	14.2485
UniRef50_C4LIT1: Primosomal protein N|unclassified	14.2485
UniRef50_M4NN35: DNA polymerase III, alpha subunit	14.1607
UniRef50_M4NN35: DNA polymerase III, alpha subunit|unclassified	14.1607
UniRef50_UPI00047630C6: hypothetical protein, partial	14.1261
UniRef50_UPI00047630C6: hypothetical protein, partial|unclassified	14.1261
UniRef50_A0A021VMC3: Primosome assembly protein PriA (Fragment)	14.1186
UniRef50_A0A021VMC3: Primosome assembly protein PriA (Fragment)|unclassified	14.1186
UniRef50_E4TUL4: DNA polymerase III gamma/tau subunit	14.1016
UniRef50_E4TUL4: DNA polymerase III gamma/tau subunit|unclassified	14.1016
UniRef50_T0Z486	14.0795
UniRef50_T0Z486|unclassified	14.0795
UniRef50_A4J366: Toprim	14.0477
UniRef50_A4J366: Toprim|unclassified	14.0477
UniRef50_E3G2R5: Phage protein	14.0292
UniRef50_E3G2R5: Phage protein|unclassified	14.0292
UniRef50_UPI000369B771: hypothetical protein	14.0263
UniRef50_UPI000369B771: hypothetical protein|unclassified	14.0263
UniRef50_X1T2G1: Marine sediment metagenome DNA, contig: S12H4_L02580 (Fragment)	14.0125
UniRef50_X1T2G1: Marine sediment metagenome DNA, contig: S12H4_L02580 (Fragment)|unclassified	14.0125
UniRef50_UPI0003B2EAF3: DNA polymerase I	13.9768
UniRef50_UPI0003B2EAF3: DNA polymerase I|unclassified	13.9768
UniRef50_V0JDP6: DNA primase	13.9406
UniRef50_V0JDP6: DNA primase|unclassified	13.9406
UniRef50_Q3AKF4	13.8679
UniRef50_Q3AKF4|unclassified	13.8679
UniRef50_V4PVV0	13.8146
UniRef50_V4PVV0|unclassified	13.8146
UniRef50_UPI0004716E9F: recombination factor protein RarA	13.7991
UniRef50_UPI0004716E9F: recombination factor protein RarA|unclassified	13.7991
UniRef50_A6TCN2	13.7242
UniRef50_A6TCN2|unclassified	13.7242
UniRef50_Q72T73: Holliday junction ATP-dependent DNA helicase RuvA	13.721
UniRef50_Q72T73: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	13.721
UniRef50_H8L1V5	13.6187
UniRef50_H8L1V5|unclassified	13.6187
UniRef50_J9GI43: DNA primase (Fragment)	13.5609
UniRef50_J9GI43: DNA primase (Fragment)|unclassified	13.5609
UniRef50_R5BZI2: DNA polymerase III polC-type	13.4841
UniRef50_R5BZI2: DNA polymerase III polC-type|unclassified	13.4841
UniRef50_S5CVY0: Pyocin large subunit	13.4834
UniRef50_S5CVY0: Pyocin large subunit|unclassified	13.4834
UniRef50_UPI000377E788: hypothetical protein	13.4804
UniRef50_UPI000377E788: hypothetical protein|unclassified	13.4804
UniRef50_E5C171	13.4615
UniRef50_E5C171|unclassified	13.4615
UniRef50_UPI00016A7C11: exodeoxyribonuclease V, alpha subunit, partial	13.3166
UniRef50_UPI00016A7C11: exodeoxyribonuclease V, alpha subunit, partial|unclassified	13.3166
UniRef50_X1TGG2: Marine sediment metagenome DNA, contig: S12H4_S17215 (Fragment)	13.3165
UniRef50_X1TGG2: Marine sediment metagenome DNA, contig: S12H4_S17215 (Fragment)|unclassified	13.3165
UniRef50_Q84IU0: DnaA (Fragment)	13.2013
UniRef50_Q84IU0: DnaA (Fragment)|unclassified	13.2013
UniRef50_UPI00037A84D1: hypothetical protein	13.1903
UniRef50_UPI00037A84D1: hypothetical protein|unclassified	13.1903
UniRef50_B1JZG5: AAA ATPase	13.1697
UniRef50_B1JZG5: AAA ATPase|unclassified	13.1697
UniRef50_UPI00030498E0: primosomal protein N''''	13.1468
UniRef50_UPI00030498E0: primosomal protein N''''|unclassified	13.1468
UniRef50_I8BKG4	13.1413
UniRef50_I8BKG4|unclassified	13.1413
UniRef50_G5N8D7: DNA primase, phage/plasmid	13.0533
UniRef50_G5N8D7: DNA primase, phage/plasmid|unclassified	13.0533
UniRef50_R4YB38: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome	13.0016
UniRef50_R4YB38: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome|unclassified	13.0016
UniRef50_C6ALV4: Phage DNA primase	12.9909
UniRef50_C6ALV4: Phage DNA primase|unclassified	12.9909
UniRef50_UPI0003609E45: hypothetical protein	12.9725
UniRef50_UPI0003609E45: hypothetical protein|unclassified	12.9725
UniRef50_K1SSZ4: DNA polymerase III catalytic subunit, PolC type (Fragment)	12.8817
UniRef50_K1SSZ4: DNA polymerase III catalytic subunit, PolC type (Fragment)|unclassified	12.8817
UniRef50_H1C855: DNA polymerase III, delta' subunit	12.8816
UniRef50_H1C855: DNA polymerase III, delta' subunit|unclassified	12.8816
UniRef50_T8JC86	12.8706
UniRef50_T8JC86|unclassified	12.8706
UniRef50_Q8CKT2	12.8507
UniRef50_Q8CKT2|unclassified	12.8507
UniRef50_I4C714	12.7955
UniRef50_I4C714|unclassified	12.7955
UniRef50_J9GR22: DNA primase (Fragment)	12.783
UniRef50_J9GR22: DNA primase (Fragment)|unclassified	12.783
UniRef50_E3B6M9	12.7592
UniRef50_E3B6M9|unclassified	12.7592
UniRef50_Q84IV1: DnaA (Fragment)	12.7206
UniRef50_Q84IV1: DnaA (Fragment)|unclassified	12.7206
UniRef50_UPI0003A435B0: hypothetical protein	12.6703
UniRef50_UPI0003A435B0: hypothetical protein|unclassified	12.6703
UniRef50_UPI0003FA8F45: DNA primase	12.6329
UniRef50_UPI0003FA8F45: DNA primase|unclassified	12.6329
UniRef50_UPI00037EDF22: MULTISPECIES: hypothetical protein	12.6104
UniRef50_UPI00037EDF22: MULTISPECIES: hypothetical protein|unclassified	12.6104
UniRef50_R8UWS2	12.598
UniRef50_R8UWS2|unclassified	12.598
UniRef50_V4RIU3	12.571
UniRef50_V4RIU3|unclassified	12.571
UniRef50_D5RLF2: Chromosomal replication initiation protein (Fragment)	12.5692
UniRef50_D5RLF2: Chromosomal replication initiation protein (Fragment)|unclassified	12.5692
UniRef50_UPI000369EBC1: hypothetical protein	12.5326
UniRef50_UPI000369EBC1: hypothetical protein|unclassified	12.5326
UniRef50_B0VKG9	12.3906
UniRef50_B0VKG9|unclassified	12.3906
UniRef50_X1T6N0: Marine sediment metagenome DNA, contig: S12H4_L02760 (Fragment)	12.3543
UniRef50_X1T6N0: Marine sediment metagenome DNA, contig: S12H4_L02760 (Fragment)|unclassified	12.3543
UniRef50_UPI0004662047: DNA polymerase III subunit epsilon, partial	12.3243
UniRef50_UPI0004662047: DNA polymerase III subunit epsilon, partial|unclassified	12.3243
UniRef50_J9FDU8: DNA primase (Fragment)	12.3091
UniRef50_J9FDU8: DNA primase (Fragment)|unclassified	12.3091
UniRef50_I8WRJ6	12.2978
UniRef50_I8WRJ6|unclassified	12.2978
UniRef50_Q2JIC4: ISSoc9, transposase	12.2836
UniRef50_Q2JIC4: ISSoc9, transposase|unclassified	12.2836
UniRef50_UPI00037362C4: hypothetical protein	12.2808
UniRef50_UPI00037362C4: hypothetical protein|unclassified	12.2808
UniRef50_UPI0003672263: hypothetical protein, partial	12.248
UniRef50_UPI0003672263: hypothetical protein, partial|unclassified	12.248
UniRef50_V7YXX5	12.1854
UniRef50_V7YXX5|unclassified	12.1854
UniRef50_UPI0004676090: hypothetical protein	12.1771
UniRef50_UPI0004676090: hypothetical protein|unclassified	12.1771
UniRef50_UPI000255F8EC: 5''''-3'''' exonuclease	12.1723
