# Gene Family	SampleDNA-replication_Abundance-RPKs
UniRef50_B5YJT8: Crossover junction endodeoxyribonuclease RuvC	4.3184855103
UniRef50_B5YJT8: Crossover junction endodeoxyribonuclease RuvC|unclassified	4.3184855103
UniRef50_X7FRP7	4.2776528771
UniRef50_X7FRP7|unclassified	4.2776528771
UniRef50_D3AU87	4.2462891542
UniRef50_D3AU87|unclassified	4.2462891542
UniRef50_UPI00037FA908: hypothetical protein	4.2410467249
UniRef50_UPI00037FA908: hypothetical protein|unclassified	4.2410467249
UniRef50_UPI000465EB27: hypothetical protein	4.2372881356
UniRef50_UPI000465EB27: hypothetical protein|unclassified	4.2372881356
UniRef50_D8NZJ2: Hypothethical protein	4.2183177027
UniRef50_D8NZJ2: Hypothethical protein|unclassified	4.2183177027
UniRef50_UPI00046EC0BD: hypothetical protein	4.1853840543
UniRef50_UPI00046EC0BD: hypothetical protein|unclassified	4.1853840543
UniRef50_E7IAV5	4.1724017903
UniRef50_E7IAV5|unclassified	4.1724017903
UniRef50_UPI00037ECCDF: hypothetical protein	4.1497011890
UniRef50_UPI00037ECCDF: hypothetical protein|unclassified	4.1497011890
UniRef50_F5TB15: DNA primase catalytic core, N-terminal domain protein	4.1217282920
UniRef50_F5TB15: DNA primase catalytic core, N-terminal domain protein|unclassified	4.1217282920
UniRef50_UPI00047C5937: hypothetical protein	4.1152263374
UniRef50_UPI00047C5937: hypothetical protein|unclassified	4.1152263374
UniRef50_F4KQR4: DNA polymerase III gamma/tau subunits-like protein	4.1140142708
UniRef50_F4KQR4: DNA polymerase III gamma/tau subunits-like protein|unclassified	4.1140142708
UniRef50_V7KJP9: Preprotein translocase subunit SecA (Fragment)	4.1103116247
UniRef50_V7KJP9: Preprotein translocase subunit SecA (Fragment)|unclassified	4.1103116247
UniRef50_UPI00037E3A08: hypothetical protein	4.1002193574
UniRef50_UPI00037E3A08: hypothetical protein|unclassified	4.1002193574
UniRef50_UPI000369B90E: hypothetical protein	4.0942757567
UniRef50_UPI000369B90E: hypothetical protein|unclassified	4.0942757567
UniRef50_UPI0004667612: hypothetical protein, partial	4.0826199907
UniRef50_UPI0004667612: hypothetical protein, partial|unclassified	4.0826199907
UniRef50_C2UPB6	4.0816326531
UniRef50_C2UPB6|unclassified	4.0816326531
UniRef50_R6J2Q9: ATPase involved in DNA replication	4.0660443616
UniRef50_R6J2Q9: ATPase involved in DNA replication|unclassified	4.0660443616
UniRef50_E1NM40: Chromosomal replication initiation protein	4.0650406504
UniRef50_E1NM40: Chromosomal replication initiation protein|unclassified	4.0650406504
UniRef50_A0A029C743	4.0631129272
UniRef50_A0A029C743|unclassified	4.0631129272
UniRef50_UPI00041301C5: DNA polymerase III subunit epsilon	4.0503703665
UniRef50_UPI00041301C5: DNA polymerase III subunit epsilon|unclassified	4.0503703665
UniRef50_V5PJ94: DNA polymerase III subunit epsilon	4.0485829960
UniRef50_V5PJ94: DNA polymerase III subunit epsilon|unclassified	4.0485829960
UniRef50_UPI00036F3CE0: hypothetical protein	4.0437481024
UniRef50_UPI00036F3CE0: hypothetical protein|unclassified	4.0437481024
UniRef50_UPI0002F7E249: hypothetical protein	4.0283612350
UniRef50_UPI0002F7E249: hypothetical protein|unclassified	4.0283612350
UniRef50_UPI00036C901F: MULTISPECIES: hypothetical protein	4.0202115511
UniRef50_UPI00036C901F: MULTISPECIES: hypothetical protein|unclassified	4.0202115511
UniRef50_C6WE00	4.0123038845
UniRef50_C6WE00|unclassified	4.0123038845
UniRef50_UPI0001FFEC52: hypothetical protein, partial	4.0078974407
UniRef50_UPI0001FFEC52: hypothetical protein, partial|unclassified	4.0078974407
UniRef50_UPI00016B07FC: exodeoxyribonuclease V, beta subunit, partial	3.9736362207
UniRef50_UPI00016B07FC: exodeoxyribonuclease V, beta subunit, partial|unclassified	3.9736362207
UniRef50_UPI0003F8CDF1: DNA polymerase III subunit delta	3.9701780558
UniRef50_UPI0003F8CDF1: DNA polymerase III subunit delta|unclassified	3.9701780558
UniRef50_C5CCE4: Primosomal protein N	3.9507622156
UniRef50_C5CCE4: Primosomal protein N|unclassified	3.9507622156
UniRef50_N6UED0: DNA polymerase III, alpha chain	3.9501619542
UniRef50_N6UED0: DNA polymerase III, alpha chain|unclassified	3.9501619542
UniRef50_L8BP60	3.9215686275
UniRef50_L8BP60|unclassified	3.9215686275
UniRef50_UPI0002F8F858: hypothetical protein	3.8910505837
UniRef50_UPI0002F8F858: hypothetical protein|unclassified	3.8910505837
UniRef50_V2ZFU2	3.8801516581
UniRef50_V2ZFU2|unclassified	3.8801516581
UniRef50_B5VVK6: GUN4 domain protein	3.8647798338
UniRef50_B5VVK6: GUN4 domain protein|unclassified	3.8647798338
UniRef50_UPI0003F7EA32: hypothetical protein	3.8573356190
UniRef50_UPI0003F7EA32: hypothetical protein|unclassified	3.8573356190
UniRef50_C8RUC3: Nucleic acid-binding domain protein (Fragment)	3.8507866342
UniRef50_C8RUC3: Nucleic acid-binding domain protein (Fragment)|unclassified	3.8507866342
UniRef50_E3A451	3.8441737475
UniRef50_E3A451|unclassified	3.8441737475
UniRef50_UPI0004625BCA: hypothetical protein	3.8265858290
UniRef50_UPI0004625BCA: hypothetical protein|unclassified	3.8265858290
UniRef50_B0MUZ7	3.8246274392
UniRef50_B0MUZ7|unclassified	3.8246274392
UniRef50_UPI00035E2E36: hypothetical protein	3.8245119774
UniRef50_UPI00035E2E36: hypothetical protein|unclassified	3.8245119774
UniRef50_E2CCY7: DNA polymerase III subunit delta'	3.8167938931
UniRef50_E2CCY7: DNA polymerase III subunit delta'|unclassified	3.8167938931
UniRef50_W1H4I7: Excinuclease cho (Excinuclease ABC alternative C subunit)	3.8140181539
UniRef50_W1H4I7: Excinuclease cho (Excinuclease ABC alternative C subunit)|unclassified	3.8140181539
UniRef50_K0FWE1	3.8110252012
UniRef50_K0FWE1|unclassified	3.8110252012
UniRef50_Q2JJG3: ISSoc9, transposase	3.8046028537
UniRef50_Q2JJG3: ISSoc9, transposase|unclassified	3.8046028537
UniRef50_A0A011PY19	3.8022813688
UniRef50_A0A011PY19|unclassified	3.8022813688
UniRef50_C4LIT1: Primosomal protein N	3.7913024686
UniRef50_C4LIT1: Primosomal protein N|unclassified	3.7913024686
UniRef50_M4NN35: DNA polymerase III, alpha subunit	3.7679529806
UniRef50_M4NN35: DNA polymerase III, alpha subunit|unclassified	3.7679529806
UniRef50_UPI00047630C6: hypothetical protein, partial	3.7587254571
UniRef50_UPI00047630C6: hypothetical protein, partial|unclassified	3.7587254571
UniRef50_A0A021VMC3: Primosome assembly protein PriA (Fragment)	3.7567478234
UniRef50_A0A021VMC3: Primosome assembly protein PriA (Fragment)|unclassified	3.7567478234
UniRef50_E4TUL4: DNA polymerase III gamma/tau subunit	3.7522147341
UniRef50_E4TUL4: DNA polymerase III gamma/tau subunit|unclassified	3.7522147341
UniRef50_T0Z486	3.7463482785
UniRef50_T0Z486|unclassified	3.7463482785
UniRef50_A4J366: Toprim	3.7378854325
UniRef50_A4J366: Toprim|unclassified	3.7378854325
UniRef50_E3G2R5: Phage protein	3.7329611999
UniRef50_E3G2R5: Phage protein|unclassified	3.7329611999
UniRef50_UPI000369B771: hypothetical protein	3.7321798781
UniRef50_UPI000369B771: hypothetical protein|unclassified	3.7321798781
UniRef50_X1T2G1: Marine sediment metagenome DNA, contig: S12H4_L02580 (Fragment)	3.7285038926
UniRef50_X1T2G1: Marine sediment metagenome DNA, contig: S12H4_L02580 (Fragment)|unclassified	3.7285038926
UniRef50_UPI0003B2EAF3: DNA polymerase I	3.7190020609
UniRef50_UPI0003B2EAF3: DNA polymerase I|unclassified	3.7190020609
UniRef50_V0JDP6: DNA primase	3.7093902313
UniRef50_V0JDP6: DNA primase|unclassified	3.7093902313
UniRef50_Q3AKF4	3.6900369004
UniRef50_Q3AKF4|unclassified	3.6900369004
UniRef50_V4PVV0	3.6758502629
UniRef50_V4PVV0|unclassified	3.6758502629
UniRef50_UPI0004716E9F: recombination factor protein RarA	3.6717373009
UniRef50_UPI0004716E9F: recombination factor protein RarA|unclassified	3.6717373009
UniRef50_A6TCN2	3.6518122109
UniRef50_A6TCN2|unclassified	3.6518122109
UniRef50_Q72T73: Holliday junction ATP-dependent DNA helicase RuvA	3.6509440670
UniRef50_Q72T73: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	3.6509440670
UniRef50_H8L1V5	3.6237278789
UniRef50_H8L1V5|unclassified	3.6237278789
UniRef50_J9GI43: DNA primase (Fragment)	3.6083584405
UniRef50_J9GI43: DNA primase (Fragment)|unclassified	3.6083584405
UniRef50_R5BZI2: DNA polymerase III polC-type	3.5878987906
UniRef50_R5BZI2: DNA polymerase III polC-type|unclassified	3.5878987906
UniRef50_S5CVY0: Pyocin large subunit	3.5877135793
UniRef50_S5CVY0: Pyocin large subunit|unclassified	3.5877135793
UniRef50_UPI000377E788: hypothetical protein	3.5869143066
UniRef50_UPI000377E788: hypothetical protein|unclassified	3.5869143066
UniRef50_E5C171	3.5818884505
UniRef50_E5C171|unclassified	3.5818884505
UniRef50_UPI00016A7C11: exodeoxyribonuclease V, alpha subunit, partial	3.5433536000
UniRef50_UPI00016A7C11: exodeoxyribonuclease V, alpha subunit, partial|unclassified	3.5433536000
UniRef50_X1TGG2: Marine sediment metagenome DNA, contig: S12H4_S17215 (Fragment)	3.5433124274
UniRef50_X1TGG2: Marine sediment metagenome DNA, contig: S12H4_S17215 (Fragment)|unclassified	3.5433124274
UniRef50_Q84IU0: DnaA (Fragment)	3.5126506502
UniRef50_Q84IU0: DnaA (Fragment)|unclassified	3.5126506502
UniRef50_UPI00037A84D1: hypothetical protein	3.5097298877
UniRef50_UPI00037A84D1: hypothetical protein|unclassified	3.5097298877
UniRef50_B1JZG5: AAA ATPase	3.5042464542
UniRef50_B1JZG5: AAA ATPase|unclassified	3.5042464542
UniRef50_UPI00030498E0: primosomal protein N''''	3.4981653292
UniRef50_UPI00030498E0: primosomal protein N''''|unclassified	3.4981653292
UniRef50_I8BKG4	3.4967029057
UniRef50_I8BKG4|unclassified	3.4967029057
UniRef50_G5N8D7: DNA primase, phage/plasmid	3.4732947256
UniRef50_G5N8D7: DNA primase, phage/plasmid|unclassified	3.4732947256
UniRef50_R4YB38: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome	3.4595205767
UniRef50_R4YB38: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome|unclassified	3.4595205767
UniRef50_C6ALV4: Phage DNA primase	3.4566869284
UniRef50_C6ALV4: Phage DNA primase|unclassified	3.4566869284
UniRef50_UPI0003609E45: hypothetical protein	3.4517852269
UniRef50_UPI0003609E45: hypothetical protein|unclassified	3.4517852269
UniRef50_K1SSZ4: DNA polymerase III catalytic subunit, PolC type (Fragment)	3.4276147678
UniRef50_K1SSZ4: DNA polymerase III catalytic subunit, PolC type (Fragment)|unclassified	3.4276147678
UniRef50_H1C855: DNA polymerase III, delta' subunit	3.4276000444
UniRef50_H1C855: DNA polymerase III, delta' subunit|unclassified	3.4276000444
UniRef50_T8JC86	3.4246575342
UniRef50_T8JC86|unclassified	3.4246575342
UniRef50_Q8CKT2	3.4193722211
UniRef50_Q8CKT2|unclassified	3.4193722211
UniRef50_I4C714	3.4046983065
UniRef50_I4C714|unclassified	3.4046983065
UniRef50_J9GR22: DNA primase (Fragment)	3.4013605442
UniRef50_J9GR22: DNA primase (Fragment)|unclassified	3.4013605442
UniRef50_E3B6M9	3.3950252510
UniRef50_E3B6M9|unclassified	3.3950252510
UniRef50_Q84IV1: DnaA (Fragment)	3.3847475785
UniRef50_Q84IV1: DnaA (Fragment)|unclassified	3.3847475785
UniRef50_UPI0003A435B0: hypothetical protein	3.3713692334
UniRef50_UPI0003A435B0: hypothetical protein|unclassified	3.3713692334
UniRef50_UPI0003FA8F45: DNA primase	3.3614136961
UniRef50_UPI0003FA8F45: DNA primase|unclassified	3.3614136961
UniRef50_UPI00037EDF22: MULTISPECIES: hypothetical protein	3.3554434992
UniRef50_UPI00037EDF22: MULTISPECIES: hypothetical protein|unclassified	3.3554434992
UniRef50_R8UWS2	3.3521316018
UniRef50_R8UWS2|unclassified	3.3521316018
UniRef50_V4RIU3	3.3449547599
UniRef50_V4RIU3|unclassified	3.3449547599
UniRef50_D5RLF2: Chromosomal replication initiation protein (Fragment)	3.3444816054
UniRef50_D5RLF2: Chromosomal replication initiation protein (Fragment)|unclassified	3.3444816054
UniRef50_UPI000369EBC1: hypothetical protein	3.3347386687
UniRef50_UPI000369EBC1: hypothetical protein|unclassified	3.3347386687
UniRef50_B0VKG9	3.2969448997
UniRef50_B0VKG9|unclassified	3.2969448997
UniRef50_X1T6N0: Marine sediment metagenome DNA, contig: S12H4_L02760 (Fragment)	3.2872807859
UniRef50_X1T6N0: Marine sediment metagenome DNA, contig: S12H4_L02760 (Fragment)|unclassified	3.2872807859
UniRef50_UPI0004662047: DNA polymerase III subunit epsilon, partial	3.2792974506
UniRef50_UPI0004662047: DNA polymerase III subunit epsilon, partial|unclassified	3.2792974506
UniRef50_J9FDU8: DNA primase (Fragment)	3.2752570942
UniRef50_J9FDU8: DNA primase (Fragment)|unclassified	3.2752570942
UniRef50_I8WRJ6	3.2722485057
UniRef50_I8WRJ6|unclassified	3.2722485057
UniRef50_Q2JIC4: ISSoc9, transposase	3.2684770137
UniRef50_Q2JIC4: ISSoc9, transposase|unclassified	3.2684770137
UniRef50_UPI00037362C4: hypothetical protein	3.2677351877
UniRef50_UPI00037362C4: hypothetical protein|unclassified	3.2677351877
UniRef50_UPI0003672263: hypothetical protein, partial	3.2590068169
UniRef50_UPI0003672263: hypothetical protein, partial|unclassified	3.2590068169
UniRef50_V7YXX5	3.2423360760
UniRef50_V7YXX5|unclassified	3.2423360760
UniRef50_UPI0004676090: hypothetical protein	3.2401384057
UniRef50_UPI0004676090: hypothetical protein|unclassified	3.2401384057
UniRef50_UPI000255F8EC: 5''''-3'''' exonuclease	3.2388685451
UniRef50_UPI000255F8EC: 5''''-3'''' exonuclease|unclassified	3.2388685451
UniRef50_R5AKH8: DNA polymerase III	3.2328598985
UniRef50_R5AKH8: DNA polymerase III|unclassified	3.2328598985
UniRef50_A0A009JEX0: Helix-turn-helix domain protein	3.2284939181
UniRef50_A0A009JEX0: Helix-turn-helix domain protein|unclassified	3.2284939181
UniRef50_UPI0003B5F883: exonuclease	3.2179033366
UniRef50_UPI0003B5F883: exonuclease|unclassified	3.2179033366
UniRef50_M7NGF4: Primosomal protein N	3.2034445832
UniRef50_M7NGF4: Primosomal protein N|unclassified	3.2034445832
UniRef50_C1D7S2: Inner membrane protein	3.2024458420
UniRef50_C1D7S2: Inner membrane protein|unclassified	3.2024458420
UniRef50_E9RTW9	3.1961042614
UniRef50_E9RTW9|unclassified	3.1961042614
UniRef50_UPI000315D697: hypothetical protein	3.1898593326
UniRef50_UPI000315D697: hypothetical protein|unclassified	3.1898593326
UniRef50_X1M4L1: Marine sediment metagenome DNA, contig: S03H2_S29915 (Fragment)	3.1874683273
UniRef50_X1M4L1: Marine sediment metagenome DNA, contig: S03H2_S29915 (Fragment)|unclassified	3.1874683273
UniRef50_C7H598	3.1748263978
UniRef50_C7H598|unclassified	3.1748263978
UniRef50_Z5XB24	3.1746031746
UniRef50_Z5XB24|unclassified	3.1746031746
UniRef50_V2TUI9	3.1642872175
UniRef50_V2TUI9|unclassified	3.1642872175
UniRef50_N8TVB7	3.1630268296
UniRef50_N8TVB7|unclassified	3.1630268296
UniRef50_J9GQK9: DNA primase	3.1575229517
UniRef50_J9GQK9: DNA primase|unclassified	3.1575229517
UniRef50_R7HSF2: DNA polymerase III delta' subunit	3.1564328808
UniRef50_R7HSF2: DNA polymerase III delta' subunit|unclassified	3.1564328808
UniRef50_K6ULZ7: Primosomal protein N	3.1552834207
UniRef50_K6ULZ7: Primosomal protein N|unclassified	3.1552834207
UniRef50_S2Z0Q4	3.1482140754
UniRef50_S2Z0Q4|unclassified	3.1482140754
UniRef50_B2FU27	3.1437392564
UniRef50_B2FU27|unclassified	3.1437392564
UniRef50_I3Z157: DNA polymerase III, gamma/tau subunit	3.1377681297
UniRef50_I3Z157: DNA polymerase III, gamma/tau subunit|unclassified	3.1377681297
UniRef50_T1BF14: DNA polymerase III, delta prime subunit (Fragment)	3.1298935648
UniRef50_T1BF14: DNA polymerase III, delta prime subunit (Fragment)|unclassified	3.1298935648
UniRef50_K1GTU5	3.1291581016
UniRef50_K1GTU5|unclassified	3.1291581016
UniRef50_UPI00039D986C: hypothetical protein	3.1188541157
UniRef50_UPI00039D986C: hypothetical protein|unclassified	3.1188541157
UniRef50_A0A016CPY7: Toprim-like family protein	3.1166106344
UniRef50_A0A016CPY7: Toprim-like family protein|unclassified	3.1166106344
UniRef50_UPI0004144C94: hypothetical protein	3.1159583445
UniRef50_UPI0004144C94: hypothetical protein|unclassified	3.1159583445
UniRef50_B2A5L5: Holliday junction ATP-dependent DNA helicase RuvA	3.1043394338
UniRef50_B2A5L5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	3.1043394338
UniRef50_B1Y3N0	3.1015774056
UniRef50_B1Y3N0|unclassified	3.1015774056
UniRef50_F9I442	3.0972840516
UniRef50_F9I442|unclassified	3.0972840516
UniRef50_D9YR76	3.0966361123
UniRef50_D9YR76|unclassified	3.0966361123
UniRef50_N9BXR5	3.0924957731
UniRef50_N9BXR5|unclassified	3.0924957731
UniRef50_UPI0003B7842A: DNA replication protein DnaC	3.0898056274
UniRef50_UPI0003B7842A: DNA replication protein DnaC|unclassified	3.0898056274
UniRef50_UPI0003B3CA0E: DNA helicase	3.0891378638
UniRef50_UPI0003B3CA0E: DNA helicase|unclassified	3.0891378638
UniRef50_UPI000248E941: hypothetical protein	3.0888222163
UniRef50_UPI000248E941: hypothetical protein|unclassified	3.0888222163
UniRef50_X1UGD7: Marine sediment metagenome DNA, contig: S12H4_S27069 (Fragment)	3.0844351287
UniRef50_X1UGD7: Marine sediment metagenome DNA, contig: S12H4_S27069 (Fragment)|unclassified	3.0844351287
UniRef50_W4PVC6: DNA primase	3.0717507371
UniRef50_W4PVC6: DNA primase|unclassified	3.0717507371
UniRef50_X5G2K8: DNA primase	3.0706154107
UniRef50_X5G2K8: DNA primase|unclassified	3.0706154107
UniRef50_UPI0003B3F20B: chromosomal replication initiator protein DnaA, partial	3.0637618310
UniRef50_UPI0003B3F20B: chromosomal replication initiator protein DnaA, partial|unclassified	3.0637618310
UniRef50_W4U4F6: DNA primase	3.0345320297
UniRef50_W4U4F6: DNA primase|unclassified	3.0345320297
UniRef50_UPI000363ACBE: hypothetical protein	3.0320268367
UniRef50_UPI000363ACBE: hypothetical protein|unclassified	3.0320268367
UniRef50_UPI00039FBF37: MULTISPECIES: endonuclease	3.0263581391
UniRef50_UPI00039FBF37: MULTISPECIES: endonuclease|unclassified	3.0263581391
UniRef50_N6YL79: Exodeoxyribonuclease V subunit gamma (Fragment)	3.0251558291
UniRef50_N6YL79: Exodeoxyribonuclease V subunit gamma (Fragment)|unclassified	3.0251558291
UniRef50_UPI0003B46BDA: DNA polymerase III subunit chi	2.9957426879
UniRef50_UPI0003B46BDA: DNA polymerase III subunit chi|unclassified	2.9957426879
UniRef50_D1NC88	2.9837192211
UniRef50_D1NC88|unclassified	2.9837192211
UniRef50_UPI0003B3EA78: 5''''-3'''' exonuclease	2.9789181264
UniRef50_UPI0003B3EA78: 5''''-3'''' exonuclease|unclassified	2.9789181264
UniRef50_UPI00036650E1: ATPase AAA	2.9685753870
UniRef50_UPI00036650E1: ATPase AAA|unclassified	2.9685753870
UniRef50_R5XNZ3: AAA ATPase	2.9629989838
UniRef50_R5XNZ3: AAA ATPase|unclassified	2.9629989838
UniRef50_K9Y153	2.9617749501
UniRef50_K9Y153|unclassified	2.9617749501
UniRef50_X1SNF3: Marine sediment metagenome DNA, contig: S12H4_S10282 (Fragment)	2.9585798817
UniRef50_X1SNF3: Marine sediment metagenome DNA, contig: S12H4_S10282 (Fragment)|unclassified	2.9585798817
UniRef50_UPI00036D3681: hypothetical protein	2.9492540952
UniRef50_UPI00036D3681: hypothetical protein|unclassified	2.9492540952
UniRef50_A0A022LX52: Preprotein translocase subunit SecA	2.9443935074
UniRef50_A0A022LX52: Preprotein translocase subunit SecA|unclassified	2.9443935074
UniRef50_A0A052Z8W7: Prophage PhiRv2 protein (Fragment)	2.9411779868
UniRef50_A0A052Z8W7: Prophage PhiRv2 protein (Fragment)|unclassified	2.9411779868
UniRef50_UPI0003461CD4: hypothetical protein	2.9393068880
UniRef50_UPI0003461CD4: hypothetical protein|unclassified	2.9393068880
UniRef50_UPI0002D8A837: hypothetical protein	2.9301498830
UniRef50_UPI0002D8A837: hypothetical protein|unclassified	2.9301498830
UniRef50_F0E9U2: IstB ATP binding domain-containing protein (Fragment)	2.9265682512
UniRef50_F0E9U2: IstB ATP binding domain-containing protein (Fragment)|unclassified	2.9265682512
UniRef50_C6ALV3: Bacteriophage P4 DNA primase	2.9101734713
UniRef50_C6ALV3: Bacteriophage P4 DNA primase|unclassified	2.9101734713
UniRef50_UPI000476B085: hypothetical protein, partial	2.8764497558
UniRef50_UPI000476B085: hypothetical protein, partial|unclassified	2.8764497558
UniRef50_H1LN07: Nucleoside triphosphatase, D5 family	2.8721277689
UniRef50_H1LN07: Nucleoside triphosphatase, D5 family|unclassified	2.8721277689
UniRef50_T1AV19: Prophage primase	2.8579567538
UniRef50_T1AV19: Prophage primase|unclassified	2.8579567538
UniRef50_UPI00037D2A16: hypothetical protein	2.8264006746
UniRef50_UPI00037D2A16: hypothetical protein|unclassified	2.8264006746
UniRef50_X0YFJ4: Marine sediment metagenome DNA, contig: S01H4_L00129	2.8239657854
UniRef50_X0YFJ4: Marine sediment metagenome DNA, contig: S01H4_L00129|unclassified	2.8239657854
UniRef50_X1IFB8: Marine sediment metagenome DNA, contig: S03H2_S11500 (Fragment)	2.8150139564
UniRef50_X1IFB8: Marine sediment metagenome DNA, contig: S03H2_S11500 (Fragment)|unclassified	2.8150139564
UniRef50_UPI0003B4B4D2: hypothetical protein	2.8143443136
UniRef50_UPI0003B4B4D2: hypothetical protein|unclassified	2.8143443136
UniRef50_Q9RNX7: RecC1001 (Fragment)	2.8126595969
UniRef50_Q9RNX7: RecC1001 (Fragment)|unclassified	2.8126595969
UniRef50_UPI000255EB10: primosomal protein N''''	2.8017103640
UniRef50_UPI000255EB10: primosomal protein N''''|unclassified	2.8017103640
UniRef50_UPI000248769F: hypothetical protein, partial	2.7927139665
UniRef50_UPI000248769F: hypothetical protein, partial|unclassified	2.7927139665
UniRef50_I3YL84: DNA polymerase III, gamma/tau subunit	2.7867405793
UniRef50_I3YL84: DNA polymerase III, gamma/tau subunit|unclassified	2.7867405793
UniRef50_F8GL66: DNA primase-like protein	2.7802258590
UniRef50_F8GL66: DNA primase-like protein|unclassified	2.7802258590
UniRef50_K4S2E0: Excinuclease cho (Excinuclease ABC alternative C subunit)	2.7752992988
UniRef50_K4S2E0: Excinuclease cho (Excinuclease ABC alternative C subunit)|unclassified	2.7752992988
UniRef50_UPI00016A7C12: exodeoxyribonuclease V, alpha subunit, partial	2.7748601754
UniRef50_UPI00016A7C12: exodeoxyribonuclease V, alpha subunit, partial|unclassified	2.7748601754
UniRef50_UPI000255A5E8: hypothetical protein	2.7701490311
UniRef50_UPI000255A5E8: hypothetical protein|unclassified	2.7701490311
UniRef50_V2YIK4	2.7624387523
UniRef50_V2YIK4|unclassified	2.7624387523
UniRef50_E8XU67: Excinuclease ABC C subunit domain protein	2.7531270282
UniRef50_E8XU67: Excinuclease ABC C subunit domain protein|unclassified	2.7531270282
UniRef50_K1V9Y7: DNA polymerase III, delta prime subunit (Fragment)	2.7381642899
UniRef50_K1V9Y7: DNA polymerase III, delta prime subunit (Fragment)|unclassified	2.7381642899
UniRef50_UPI00046F3FA2: hypothetical protein, partial	2.7332411042
UniRef50_UPI00046F3FA2: hypothetical protein, partial|unclassified	2.7332411042
UniRef50_X4ZBI5: Rhodanese-like domain protein	2.7229209179
UniRef50_X4ZBI5: Rhodanese-like domain protein|unclassified	2.7229209179
UniRef50_K9Y030	2.7228693161
UniRef50_K9Y030|unclassified	2.7228693161
UniRef50_J9GAM0	2.7085607353
UniRef50_J9GAM0|unclassified	2.7085607353
UniRef50_UPI0004045148: DNA polymerase III subunit beta	2.7034564721
UniRef50_UPI0004045148: DNA polymerase III subunit beta|unclassified	2.7034564721
UniRef50_UPI00046F0E04: hypothetical protein	2.7019407313
UniRef50_UPI00046F0E04: hypothetical protein|unclassified	2.7019407313
UniRef50_F0G6B5: Primosome assembly protein PriA (Fragment)	2.7006215871
UniRef50_F0G6B5: Primosome assembly protein PriA (Fragment)|unclassified	2.7006215871
UniRef50_UPI000237694F: Rhodanese-like protein, partial	2.6958127994
UniRef50_UPI000237694F: Rhodanese-like protein, partial|unclassified	2.6958127994
UniRef50_UPI0002F51714: hypothetical protein	2.6897849323
UniRef50_UPI0002F51714: hypothetical protein|unclassified	2.6897849323
UniRef50_UPI00047B963F: hypothetical protein	2.6816062681
UniRef50_UPI00047B963F: hypothetical protein|unclassified	2.6816062681
UniRef50_K6E6H3: GUN4 domain-containing protein (Fragment)	2.6730384326
UniRef50_K6E6H3: GUN4 domain-containing protein (Fragment)|unclassified	2.6730384326
UniRef50_UPI0003B4C431: hypothetical protein	2.6552223689
UniRef50_UPI0003B4C431: hypothetical protein|unclassified	2.6552223689
UniRef50_R8V754	2.6490661178
UniRef50_R8V754|unclassified	2.6490661178
UniRef50_UPI00047470BE: ATPase AAA, partial	2.6399529642
UniRef50_UPI00047470BE: ATPase AAA, partial|unclassified	2.6399529642
UniRef50_A0A024RR11: Exodeoxyribonuclease V subunit alpha	2.6395415817
UniRef50_A0A024RR11: Exodeoxyribonuclease V subunit alpha|unclassified	2.6395415817
UniRef50_X1I4W1: Marine sediment metagenome DNA, contig: S03H2_S00047 (Fragment)	2.6328830048
UniRef50_X1I4W1: Marine sediment metagenome DNA, contig: S03H2_S00047 (Fragment)|unclassified	2.6328830048
UniRef50_UPI000299F8E3: DNA polymerase III subunit delta, partial	2.6258923788
UniRef50_UPI000299F8E3: DNA polymerase III subunit delta, partial|unclassified	2.6258923788
UniRef50_A1U0S0	2.6154050232
UniRef50_A1U0S0|unclassified	2.6154050232
UniRef50_D1K8J7	2.6003727759
UniRef50_D1K8J7|unclassified	2.6003727759
UniRef50_C5T1T6	2.5948819978
UniRef50_C5T1T6|unclassified	2.5948819978
UniRef50_UPI00046A2B1B: hypothetical protein	2.5935279599
UniRef50_UPI00046A2B1B: hypothetical protein|unclassified	2.5935279599
UniRef50_UPI000366285D: ATPase AAA	2.5872533910
UniRef50_UPI000366285D: ATPase AAA|unclassified	2.5872533910
UniRef50_X2H743: Putative ATPase	2.5847754350
UniRef50_X2H743: Putative ATPase|unclassified	2.5847754350
UniRef50_H5GQ93: Phage O protein	2.5773717412
UniRef50_H5GQ93: Phage O protein|unclassified	2.5773717412
UniRef50_J0MRU9: Primosomal protein N' family protein (Fragment)	2.5704972262
UniRef50_J0MRU9: Primosomal protein N' family protein (Fragment)|unclassified	2.5704972262
UniRef50_UPI00036D5838: hypothetical protein	2.5678226878
UniRef50_UPI00036D5838: hypothetical protein|unclassified	2.5678226878
UniRef50_A0A011NML1	2.5528378189
UniRef50_A0A011NML1|unclassified	2.5528378189
UniRef50_K1YUQ6	2.5495197034
UniRef50_K1YUQ6|unclassified	2.5495197034
UniRef50_T0XTW3	2.5248015470
UniRef50_T0XTW3|unclassified	2.5248015470
UniRef50_F9H7A4: Phage phi-r73 primase-like protein	2.5137378652
UniRef50_F9H7A4: Phage phi-r73 primase-like protein|unclassified	2.5137378652
