# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-CPM
UniRef50_UPI00046431BD: hypothetical protein|unclassified	55.2117
UniRef50_UPI000368B0E5: DNA ligase	54.5971
UniRef50_UPI000368B0E5: DNA ligase|unclassified	54.5971
UniRef50_UPI000373FB92: hypothetical protein	54.5455
UniRef50_UPI000373FB92: hypothetical protein|unclassified	54.5455
UniRef50_UPI0003C4C2DD: PREDICTED: endonuclease III-like protein 1 isoform X4	54.5038
UniRef50_UPI0003C4C2DD: PREDICTED: endonuclease III-like protein 1 isoform X4|unclassified	54.5038
UniRef50_X6D974	53.7316
UniRef50_X6D974|unclassified	53.7316
UniRef50_M6T4P3	53.6724
UniRef50_M6T4P3|unclassified	53.6724
UniRef50_A0PP46	53.6097
UniRef50_A0PP46|unclassified	53.6097
UniRef50_UPI000378B649: hypothetical protein	53.5141
UniRef50_UPI000378B649: hypothetical protein|unclassified	53.5141
UniRef50_UPI00037210EB: hypothetical protein	53.4251
UniRef50_UPI00037210EB: hypothetical protein|unclassified	53.4251
UniRef50_M6R366	53.3975
UniRef50_M6R366|unclassified	53.3975
UniRef50_W0DRQ7: Phosphoesterase RecJ	53.3042
UniRef50_W0DRQ7: Phosphoesterase RecJ|unclassified	53.3042
UniRef50_Q1NHJ1: Ku protein	53.2595
UniRef50_Q1NHJ1: Ku protein|unclassified	53.2595
UniRef50_UPI0002FF8C25: hypothetical protein	53.2576
UniRef50_UPI0002FF8C25: hypothetical protein|unclassified	53.2576
UniRef50_UPI0001E894AB: ATP-dependent DNA ligase	53.1141
UniRef50_UPI0001E894AB: ATP-dependent DNA ligase|unclassified	53.1141
UniRef50_W5X4R4: 5-carboxymethyl-2-hydroxymuconate delta-isomerase	52.9754
UniRef50_W5X4R4: 5-carboxymethyl-2-hydroxymuconate delta-isomerase|unclassified	52.9754
UniRef50_UPI00047107E6: hypothetical protein, partial	52.8545
UniRef50_UPI00047107E6: hypothetical protein, partial|unclassified	52.8545
UniRef50_UPI00035E18CF: hypothetical protein	52.646
UniRef50_UPI00035E18CF: hypothetical protein|unclassified	52.646
UniRef50_UPI000237B10D: ATP-dependent DNA ligase	52.4195
UniRef50_UPI000237B10D: ATP-dependent DNA ligase|unclassified	52.4195
UniRef50_B7J4E2: Ribonuclease H	52.1307
UniRef50_B7J4E2: Ribonuclease H|unclassified	52.1307
UniRef50_D3L0M5	51.9389
UniRef50_D3L0M5|unclassified	51.9389
UniRef50_UPI00031377E0: hypothetical protein	51.5885
UniRef50_UPI00031377E0: hypothetical protein|unclassified	51.5885
UniRef50_J2P3M3: DNA polymerase LigD	51.3895
UniRef50_J2P3M3: DNA polymerase LigD|unclassified	51.3895
UniRef50_UPI00047946CE: ATP-dependent DNA ligase	51.3656
UniRef50_UPI00047946CE: ATP-dependent DNA ligase|unclassified	51.3656
UniRef50_UPI000288CF44: DNA ligase	51.3246
UniRef50_UPI000288CF44: DNA ligase|unclassified	51.3246
UniRef50_Q1YSA0	51.1789
UniRef50_Q1YSA0|unclassified	51.1789
UniRef50_UPI0003B5FACF: DNA-3-methyladenine glycosylase	50.9983
UniRef50_UPI0003B5FACF: DNA-3-methyladenine glycosylase|unclassified	50.9983
UniRef50_U7FJK6	50.9675
UniRef50_U7FJK6|unclassified	50.9675
UniRef50_K2F5I3	50.6039
UniRef50_K2F5I3|unclassified	50.6039
UniRef50_B3DVC8: Putative 3-methyladenine DNA glycosylase	50.172
UniRef50_B3DVC8: Putative 3-methyladenine DNA glycosylase|unclassified	50.172
UniRef50_UPI00047E7DB4: hypothetical protein	49.9291
UniRef50_UPI00047E7DB4: hypothetical protein|unclassified	49.9291
UniRef50_UPI00037A653B: hypothetical protein	49.9225
UniRef50_UPI00037A653B: hypothetical protein|unclassified	49.9225
UniRef50_UPI00016C4648: hypothetical protein	49.7231
UniRef50_UPI00016C4648: hypothetical protein|unclassified	49.7231
UniRef50_Q1C259: DNA ligase B	49.6969
UniRef50_Q1C259: DNA ligase B|unclassified	49.6969
UniRef50_UPI00037F47BC: hypothetical protein	49.6796
UniRef50_UPI00037F47BC: hypothetical protein|unclassified	49.6796
UniRef50_UPI0001BCEB8A: hypothetical protein	49.608
UniRef50_UPI0001BCEB8A: hypothetical protein|unclassified	49.608
UniRef50_UPI000419568D: hypothetical protein	49.5922
UniRef50_UPI000419568D: hypothetical protein|unclassified	49.5922
UniRef50_UPI0002DC48EE: hypothetical protein	49.1535
UniRef50_UPI0002DC48EE: hypothetical protein|unclassified	49.1535
UniRef50_UPI0003B611E2: hypothetical protein	49.13
UniRef50_UPI0003B611E2: hypothetical protein|unclassified	49.13
UniRef50_X0VLG4: Marine sediment metagenome DNA, contig: S01H1_S13046 (Fragment)	47.6415
UniRef50_X0VLG4: Marine sediment metagenome DNA, contig: S01H1_S13046 (Fragment)|unclassified	47.6415
UniRef50_UPI0003686987: hypothetical protein	47.1949
UniRef50_UPI0003686987: hypothetical protein|unclassified	47.1949
UniRef50_Q39147: DNA-3-methyladenine glycosylase	47.0753
UniRef50_Q39147: DNA-3-methyladenine glycosylase|unclassified	47.0753
UniRef50_UPI000200312F: DNA-3-methyladenine glycosylase	46.989
UniRef50_UPI000200312F: DNA-3-methyladenine glycosylase|unclassified	46.989
UniRef50_UPI0003744588: hypothetical protein	46.8004
UniRef50_UPI0003744588: hypothetical protein|unclassified	46.8004
UniRef50_UPI000375EF2F: hypothetical protein	46.6049
UniRef50_UPI000375EF2F: hypothetical protein|unclassified	46.6049
UniRef50_UPI00036DFA9A: hypothetical protein	46.4168
UniRef50_UPI00036DFA9A: hypothetical protein|unclassified	46.4168
UniRef50_UPI00046A91E7: hypothetical protein	46.2692
UniRef50_UPI00046A91E7: hypothetical protein|unclassified	46.2692
UniRef50_G2TGH2	46.1583
UniRef50_G2TGH2|unclassified	46.1583
UniRef50_UPI0004633DFC: hypothetical protein, partial	46.0315
UniRef50_UPI0004633DFC: hypothetical protein, partial|unclassified	46.0315
UniRef50_UPI0004053508: hypothetical protein	45.5993
UniRef50_UPI0004053508: hypothetical protein|unclassified	45.5993
UniRef50_UPI00047A31F1: hypothetical protein	45.5141
UniRef50_UPI00047A31F1: hypothetical protein|unclassified	45.5141
UniRef50_UPI0003EF6572: DNA polymerase, partial	45.4976
UniRef50_UPI0003EF6572: DNA polymerase, partial|unclassified	45.4976
UniRef50_I7TXA1	45.4865
UniRef50_I7TXA1|unclassified	45.4865
UniRef50_Q2FNA4	45.4849
UniRef50_Q2FNA4|unclassified	45.4849
UniRef50_UPI0003B462BB: deoxyribonuclease I	45.3952
UniRef50_UPI0003B462BB: deoxyribonuclease I|unclassified	45.3952
UniRef50_UPI0002628E64: single-stranded-DNA-specific exonuclease RecJ	45.3152
UniRef50_UPI0002628E64: single-stranded-DNA-specific exonuclease RecJ|unclassified	45.3152
UniRef50_UPI0002DE162D: hypothetical protein	45.0128
UniRef50_UPI0002DE162D: hypothetical protein|unclassified	45.0128
UniRef50_UPI0001850E45: DNA-(apurinic or apyrimidinic site) lyase	44.7317
UniRef50_UPI0001850E45: DNA-(apurinic or apyrimidinic site) lyase|unclassified	44.7317
UniRef50_B8D120	44.6098
UniRef50_B8D120|unclassified	44.6098
UniRef50_E1IEQ5	44.5787
UniRef50_E1IEQ5|unclassified	44.5787
UniRef50_UPI0003665D22: hypothetical protein, partial	43.6774
UniRef50_UPI0003665D22: hypothetical protein, partial|unclassified	43.6774
UniRef50_UPI0004746270: hypothetical protein, partial	43.5915
UniRef50_UPI0004746270: hypothetical protein, partial|unclassified	43.5915
UniRef50_B8HIQ9: DNA ligase 2	43.1661
UniRef50_B8HIQ9: DNA ligase 2|unclassified	43.1661
UniRef50_UPI0002627FBE: DNA polymerase I, partial	43.0232
UniRef50_UPI0002627FBE: DNA polymerase I, partial|unclassified	43.0232
UniRef50_A4E8P6	42.9295
UniRef50_A4E8P6|unclassified	42.9295
UniRef50_W5X5H8: Putative 3-methyladenine DNA glycosylase	42.8039
UniRef50_W5X5H8: Putative 3-methyladenine DNA glycosylase|unclassified	42.8039
UniRef50_UPI000174699D: formamidopyrimidine-DNA glycosylase	42.6437
UniRef50_UPI000174699D: formamidopyrimidine-DNA glycosylase|unclassified	42.6437
UniRef50_UPI00047C2ECD: hypothetical protein	42.6115
UniRef50_UPI00047C2ECD: hypothetical protein|unclassified	42.6115
UniRef50_UPI000190292F: hypothetical protein	42.4884
UniRef50_UPI000190292F: hypothetical protein|unclassified	42.4884
UniRef50_UPI0003B6EA33: DNA lyase	42.4873
UniRef50_UPI0003B6EA33: DNA lyase|unclassified	42.4873
UniRef50_UPI000255B845: transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	42.3499
UniRef50_UPI000255B845: transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase|unclassified	42.3499
UniRef50_F2KN43	42.1999
UniRef50_F2KN43|unclassified	42.1999
UniRef50_UPI00038086AA: hypothetical protein	41.9405
UniRef50_UPI00038086AA: hypothetical protein|unclassified	41.9405
UniRef50_S2EIM7: DHH family protein	41.5902
UniRef50_S2EIM7: DHH family protein|unclassified	41.5902
UniRef50_A0LL02	41.4221
UniRef50_A0LL02|unclassified	41.4221
UniRef50_UPI0001F8584D: single-strand DNA-specific exonuclease-like protein	41.291
UniRef50_UPI0001F8584D: single-strand DNA-specific exonuclease-like protein|unclassified	41.291
UniRef50_UPI00037D4A0F: hypothetical protein	41.2281
UniRef50_UPI00037D4A0F: hypothetical protein|unclassified	41.2281
UniRef50_UPI000375D61E: hypothetical protein	41.1824
UniRef50_UPI000375D61E: hypothetical protein|unclassified	41.1824
UniRef50_X6C990	41.1023
UniRef50_X6C990|unclassified	41.1023
UniRef50_UPI0003B6E4D2: ATP-dependent DNA ligase	40.8413
UniRef50_UPI0003B6E4D2: ATP-dependent DNA ligase|unclassified	40.8413
UniRef50_W0TQ71	40.7951
UniRef50_W0TQ71|unclassified	40.7951
UniRef50_I7H422	40.6981
UniRef50_I7H422|unclassified	40.6981
UniRef50_UPI000378B6AA: hypothetical protein	40.5458
UniRef50_UPI000378B6AA: hypothetical protein|unclassified	40.5458
UniRef50_UPI000347ACC9: hypothetical protein	40.3912
UniRef50_UPI000347ACC9: hypothetical protein|unclassified	40.3912
UniRef50_UPI0003807B48: hypothetical protein	40.3097
UniRef50_UPI0003807B48: hypothetical protein|unclassified	40.3097
UniRef50_B1ZMR3: DNA ligase 2	40.2286
UniRef50_B1ZMR3: DNA ligase 2|unclassified	40.2286
UniRef50_UPI00046312F8: hypothetical protein, partial	40.1542
UniRef50_UPI00046312F8: hypothetical protein, partial|unclassified	40.1542
UniRef50_Q9T1Q3: Probable DNA polymerase	40.1015
UniRef50_Q9T1Q3: Probable DNA polymerase|unclassified	40.1015
UniRef50_UPI0003B3F2FE: DNA ligase	39.447
UniRef50_UPI0003B3F2FE: DNA ligase|unclassified	39.447
UniRef50_C0GF57: DNA polymerase LigD, polymerase domain protein	39.4024
UniRef50_C0GF57: DNA polymerase LigD, polymerase domain protein|unclassified	39.4024
UniRef50_UPI0004097254: hypothetical protein	39.2599
UniRef50_UPI0004097254: hypothetical protein|unclassified	39.2599
UniRef50_UPI0003648840: hypothetical protein	39.0673
UniRef50_UPI0003648840: hypothetical protein|unclassified	39.0673
UniRef50_W5XGN1: Transaldolase	38.8817
UniRef50_W5XGN1: Transaldolase|unclassified	38.8817
UniRef50_A0L6S1	38.8724
UniRef50_A0L6S1|unclassified	38.8724
UniRef50_V0SV41	38.7246
UniRef50_V0SV41|unclassified	38.7246
UniRef50_UPI0001B46638: hypothetical protein, partial	38.713
UniRef50_UPI0001B46638: hypothetical protein, partial|unclassified	38.713
UniRef50_UPI00046649EE: hypothetical protein	38.5771
UniRef50_UPI00046649EE: hypothetical protein|unclassified	38.5771
UniRef50_UPI00035FF8E9: hypothetical protein	38.4128
UniRef50_UPI00035FF8E9: hypothetical protein|unclassified	38.4128
UniRef50_Q3ICC5: Flap endonuclease Xni	38.0332
UniRef50_Q3ICC5: Flap endonuclease Xni|unclassified	38.0332
UniRef50_UPI0003640B55: hypothetical protein	38.012
UniRef50_UPI0003640B55: hypothetical protein|unclassified	38.012
UniRef50_UPI0003B42D49: 5-hydroxymethyluracil DNA glycosylase	37.8459
UniRef50_UPI0003B42D49: 5-hydroxymethyluracil DNA glycosylase|unclassified	37.8459
UniRef50_X5UKK0	37.6622
UniRef50_X5UKK0|unclassified	37.6622
UniRef50_X1F329: Marine sediment metagenome DNA, contig: S03H2_L08650	37.3576
UniRef50_X1F329: Marine sediment metagenome DNA, contig: S03H2_L08650|unclassified	37.3576
UniRef50_UPI0004695587: hypothetical protein	37.2809
UniRef50_UPI0004695587: hypothetical protein|unclassified	37.2809
UniRef50_UPI000464B685: hypothetical protein	37.2012
UniRef50_UPI000464B685: hypothetical protein|unclassified	37.2012
UniRef50_UPI000469C878: hypothetical protein	36.8237
UniRef50_UPI000469C878: hypothetical protein|unclassified	36.8237
UniRef50_X1EAE5: Marine sediment metagenome DNA, contig: S01H4_S16654 (Fragment)	36.7467
UniRef50_X1EAE5: Marine sediment metagenome DNA, contig: S01H4_S16654 (Fragment)|unclassified	36.7467
UniRef50_UPI000249109E: DNA repair protein	36.6606
UniRef50_UPI000249109E: DNA repair protein|unclassified	36.6606
UniRef50_W5YV15	36.6034
UniRef50_W5YV15|unclassified	36.6034
UniRef50_K2EQW5	36.5172
UniRef50_K2EQW5|unclassified	36.5172
UniRef50_UPI00036F586F: hypothetical protein	36.3151
UniRef50_UPI00036F586F: hypothetical protein|unclassified	36.3151
UniRef50_UPI0003B3D519: DNA-3-methyladenine glycosylase	36.1952
UniRef50_UPI0003B3D519: DNA-3-methyladenine glycosylase|unclassified	36.1952
UniRef50_X6FLV7	36.0995
UniRef50_X6FLV7|unclassified	36.0995
UniRef50_UPI00037A4260: hypothetical protein, partial	35.6578
UniRef50_UPI00037A4260: hypothetical protein, partial|unclassified	35.6578
UniRef50_UPI0003B4FA5B: DNA polymerase I	35.6497
UniRef50_UPI0003B4FA5B: DNA polymerase I|unclassified	35.6497
UniRef50_B9XYL1	35.6462
UniRef50_B9XYL1|unclassified	35.6462
UniRef50_UPI000428E3B0: ATP-dependent DNA ligase	35.6186
UniRef50_UPI000428E3B0: ATP-dependent DNA ligase|unclassified	35.6186
UniRef50_UPI000382080D: hypothetical protein	35.1693
UniRef50_UPI000382080D: hypothetical protein|unclassified	35.1693
UniRef50_UPI00025561BB: DNA ligase, NAD-dependent, partial	34.8252
UniRef50_UPI00025561BB: DNA ligase, NAD-dependent, partial|unclassified	34.8252
UniRef50_K2BNR8	34.6098
UniRef50_K2BNR8|unclassified	34.6098
UniRef50_J9FQ06: Secreted protein	34.5698
UniRef50_J9FQ06: Secreted protein|unclassified	34.5698
UniRef50_UPI000376EDC9: hypothetical protein	34.5682
UniRef50_UPI000376EDC9: hypothetical protein|unclassified	34.5682
UniRef50_B1ZZL9: Probable DNA ligase	34.4943
UniRef50_B1ZZL9: Probable DNA ligase|unclassified	34.4943
UniRef50_UPI0003B3749D: 3-methyladenine DNA glycosylase	34.3278
UniRef50_UPI0003B3749D: 3-methyladenine DNA glycosylase|unclassified	34.3278
UniRef50_W4TKE9: DNA polymerase I	34.2954
UniRef50_W4TKE9: DNA polymerase I|unclassified	34.2954
UniRef50_UPI0003B4CEF5: exodeoxyribonuclease I	34.1637
UniRef50_UPI0003B4CEF5: exodeoxyribonuclease I|unclassified	34.1637
UniRef50_X0RL20	34.1583
UniRef50_X0RL20|unclassified	34.1583
UniRef50_W7X488	33.7595
UniRef50_W7X488|unclassified	33.7595
UniRef50_UPI000237B781: ATP-dependent DNA ligase	33.6603
UniRef50_UPI000237B781: ATP-dependent DNA ligase|unclassified	33.6603
UniRef50_X1PC63: Marine sediment metagenome DNA, contig: S06H3_S21912 (Fragment)	33.6376
UniRef50_X1PC63: Marine sediment metagenome DNA, contig: S06H3_S21912 (Fragment)|unclassified	33.6376
UniRef50_UPI0003604BA7: hypothetical protein	33.5968
UniRef50_UPI0003604BA7: hypothetical protein|unclassified	33.5968
UniRef50_X1LWX9: Marine sediment metagenome DNA, contig: S06H3_L02952	33.4346
UniRef50_X1LWX9: Marine sediment metagenome DNA, contig: S06H3_L02952|unclassified	33.4346
UniRef50_X1QJV1: Marine sediment metagenome DNA, contig: S06H3_S25629 (Fragment)	33.2996
UniRef50_X1QJV1: Marine sediment metagenome DNA, contig: S06H3_S25629 (Fragment)|unclassified	33.2996
UniRef50_UPI000380276C: hypothetical protein	33.2951
UniRef50_UPI000380276C: hypothetical protein|unclassified	33.2951
UniRef50_UPI00035ED1A4: hypothetical protein	33.2402
UniRef50_UPI00035ED1A4: hypothetical protein|unclassified	33.2402
UniRef50_T0RSD7	33.0759
UniRef50_T0RSD7|unclassified	33.0759
UniRef50_UPI00037CD576: hypothetical protein	32.8309
UniRef50_UPI00037CD576: hypothetical protein|unclassified	32.8309
UniRef50_C7UBL2	32.744
UniRef50_C7UBL2|unclassified	32.744
UniRef50_UPI0003B5FFEE: ATP-dependent DNA ligase	32.6389
UniRef50_UPI0003B5FFEE: ATP-dependent DNA ligase|unclassified	32.6389
UniRef50_UPI000380A9D3: hypothetical protein, partial	31.8827
UniRef50_UPI000380A9D3: hypothetical protein, partial|unclassified	31.8827
UniRef50_H1KQM8	31.8414
UniRef50_H1KQM8|unclassified	31.8414
UniRef50_UPI000376064F: hypothetical protein	31.4787
UniRef50_UPI000376064F: hypothetical protein|unclassified	31.4787
UniRef50_UPI0003FCAA3D: hypothetical protein	31.4498
UniRef50_UPI0003FCAA3D: hypothetical protein|unclassified	31.4498
UniRef50_UPI000379B222: hypothetical protein	31.346
UniRef50_UPI000379B222: hypothetical protein|unclassified	31.346
UniRef50_UPI000255C054: ATP dependent DNA ligase	31.318
UniRef50_UPI000255C054: ATP dependent DNA ligase|unclassified	31.318
UniRef50_UPI0002193D92: DNA ligase, NAD-dependent, partial	31.2248
UniRef50_UPI0002193D92: DNA ligase, NAD-dependent, partial|unclassified	31.2248
UniRef50_Q6L195: DNA ligase	31.0559
UniRef50_Q6L195: DNA ligase|unclassified	31.0559
UniRef50_UPI00047D68E1: ATP-dependent DNA ligase	30.9755
UniRef50_UPI00047D68E1: ATP-dependent DNA ligase|unclassified	30.9755
UniRef50_F5SBN0: DNA polymerase LigD, polymerase domain protein	30.9385
UniRef50_F5SBN0: DNA polymerase LigD, polymerase domain protein|unclassified	30.9385
UniRef50_N1U3B1	30.8614
UniRef50_N1U3B1|unclassified	30.8614
UniRef50_D3EG05: DNA polymerase LigD, polymerase domain protein	30.8174
UniRef50_D3EG05: DNA polymerase LigD, polymerase domain protein|unclassified	30.8174
UniRef50_X1ARM6: Marine sediment metagenome DNA, contig: S01H4_S03274 (Fragment)	30.7793
UniRef50_X1ARM6: Marine sediment metagenome DNA, contig: S01H4_S03274 (Fragment)|unclassified	30.7793
UniRef50_I6TG67: DNA polymerase (Fragment)	30.3584
UniRef50_I6TG67: DNA polymerase (Fragment)|unclassified	30.3584
UniRef50_X6EDF1	30.3524
UniRef50_X6EDF1|unclassified	30.3524
UniRef50_A3DP49: DNA ligase	30.3288
UniRef50_A3DP49: DNA ligase|unclassified	30.3288
UniRef50_A0A028F607	30.3076
UniRef50_A0A028F607|unclassified	30.3076
UniRef50_Q7TYI9: Ribose-5-phosphate isomerase B	30.2932
UniRef50_Q7TYI9: Ribose-5-phosphate isomerase B|unclassified	30.2932
UniRef50_UPI00047C4EC8: hypothetical protein, partial	30.06
UniRef50_UPI00047C4EC8: hypothetical protein, partial|unclassified	30.06
UniRef50_J9CVW5	29.9136
UniRef50_J9CVW5|unclassified	29.9136
UniRef50_UPI0003B42E9D: 5''''-3'''' exonuclease	29.5969
UniRef50_UPI0003B42E9D: 5''''-3'''' exonuclease|unclassified	29.5969
UniRef50_UPI00047B3638: DNA ligase	29.4781
UniRef50_UPI00047B3638: DNA ligase|unclassified	29.4781
UniRef50_W8I393	28.8081
UniRef50_W8I393|unclassified	28.8081
UniRef50_UPI0003744B83: hypothetical protein	28.57
UniRef50_UPI0003744B83: hypothetical protein|unclassified	28.57
UniRef50_UPI000468C04E: hypothetical protein	28.2404
UniRef50_UPI000468C04E: hypothetical protein|unclassified	28.2404
UniRef50_R6A0D0	28.1567
UniRef50_R6A0D0|unclassified	28.1567
UniRef50_F0PHH8	28.1294
UniRef50_F0PHH8|unclassified	28.1294
UniRef50_UPI0003B6EBEC: 5''''-3'''' exonuclease	28.119
UniRef50_UPI0003B6EBEC: 5''''-3'''' exonuclease|unclassified	28.119
UniRef50_Q18H83: DUF123 domain-containing protein HQ_2548A	28.1043
UniRef50_Q18H83: DUF123 domain-containing protein HQ_2548A|unclassified	28.1043
UniRef50_A0A011PXE4: DNA-3-methyladenine glycosylase 2	28.0613
UniRef50_A0A011PXE4: DNA-3-methyladenine glycosylase 2|unclassified	28.0613
UniRef50_I3UTX7	27.7001
UniRef50_I3UTX7|unclassified	27.7001
UniRef50_UPI0003B37B1E: DNA-3-methyladenine glycosylase	27.5281
UniRef50_UPI0003B37B1E: DNA-3-methyladenine glycosylase|unclassified	27.5281
UniRef50_UPI0003782116: hypothetical protein	27.3817
UniRef50_UPI0003782116: hypothetical protein|unclassified	27.3817
UniRef50_UPI00031A175D: hypothetical protein	27.3421
UniRef50_UPI00031A175D: hypothetical protein|unclassified	27.3421
UniRef50_D1ASJ0	27.2316
UniRef50_D1ASJ0|unclassified	27.2316
UniRef50_UPI000237703C: single-stranded-DNA-specific exonuclease RecJ, partial	27.1775
UniRef50_UPI000237703C: single-stranded-DNA-specific exonuclease RecJ, partial|unclassified	27.1775
UniRef50_UPI0004759620: hypothetical protein	27.1615
UniRef50_UPI0004759620: hypothetical protein|unclassified	27.1615
UniRef50_UPI0003DE78CB: PREDICTED: DNA-3-methyladenine glycosylase-like isoform X2	27.0643
UniRef50_UPI0003DE78CB: PREDICTED: DNA-3-methyladenine glycosylase-like isoform X2|unclassified	27.0643
UniRef50_H1QFM2: ADA-like regulatory protein (Fragment)	26.8296
UniRef50_H1QFM2: ADA-like regulatory protein (Fragment)|unclassified	26.8296
UniRef50_A3CRI6	26.6761
UniRef50_A3CRI6|unclassified	26.6761
UniRef50_Q2J252	26.5524
UniRef50_Q2J252|unclassified	26.5524
UniRef50_UPI00041CEDB6: hypothetical protein	26.4372
UniRef50_UPI00041CEDB6: hypothetical protein|unclassified	26.4372
UniRef50_UPI00036B870C: hypothetical protein	26.1892
UniRef50_UPI00036B870C: hypothetical protein|unclassified	26.1892
UniRef50_Q8XD89: DNA ligase B	25.9053
UniRef50_Q8XD89: DNA ligase B|unclassified	25.9053
UniRef50_UPI00026C58D3: HhH-GPD family protein	25.6901
UniRef50_UPI00026C58D3: HhH-GPD family protein|unclassified	25.6901
UniRef50_UPI000378CB65: hypothetical protein	25.6077
UniRef50_UPI000378CB65: hypothetical protein|unclassified	25.6077
UniRef50_UPI0003A751D5: hypothetical protein	25.5137
UniRef50_UPI0003A751D5: hypothetical protein|unclassified	25.5137
UniRef50_G1VEX8	25.4825
UniRef50_G1VEX8|unclassified	25.4825
UniRef50_UPI000379F3A3: hypothetical protein	25.4546
UniRef50_UPI000379F3A3: hypothetical protein|unclassified	25.4546
UniRef50_UPI000473DE21: hypothetical protein, partial	25.2877
UniRef50_UPI000473DE21: hypothetical protein, partial|unclassified	25.2877
UniRef50_A8ARN4: DNA ligase B	25.2511
UniRef50_A8ARN4: DNA ligase B|unclassified	25.2511
UniRef50_K2BT30: Ku protein	25.0594
UniRef50_K2BT30: Ku protein|unclassified	25.0594
UniRef50_UPI000472020D: hypothetical protein, partial	24.9782
UniRef50_UPI000472020D: hypothetical protein, partial|unclassified	24.9782
UniRef50_UPI00037D4BC7: hypothetical protein	24.9228
UniRef50_UPI00037D4BC7: hypothetical protein|unclassified	24.9228
UniRef50_UPI00047C46A3: hypothetical protein	24.8597
UniRef50_UPI00047C46A3: hypothetical protein|unclassified	24.8597
UniRef50_UPI00036B96BE: hypothetical protein	24.4569
UniRef50_UPI00036B96BE: hypothetical protein|unclassified	24.4569
UniRef50_UPI000381D2CA: hypothetical protein	24.3618
UniRef50_UPI000381D2CA: hypothetical protein|unclassified	24.3618
UniRef50_UPI0004707483: DNA polymerase, partial	24.3403
UniRef50_UPI0004707483: DNA polymerase, partial|unclassified	24.3403
UniRef50_UPI00035CB793: hypothetical protein	24.1396
UniRef50_UPI00035CB793: hypothetical protein|unclassified	24.1396
UniRef50_X1DZH7: Marine sediment metagenome DNA, contig: S01H4_S07746 (Fragment)	24.0915
UniRef50_X1DZH7: Marine sediment metagenome DNA, contig: S01H4_S07746 (Fragment)|unclassified	24.0915
UniRef50_UPI000474281F: hypothetical protein	24.0068
UniRef50_UPI000474281F: hypothetical protein|unclassified	24.0068
UniRef50_UPI000365CDB1: hypothetical protein	23.952
UniRef50_UPI000365CDB1: hypothetical protein|unclassified	23.952
UniRef50_UPI00035F35FD: hypothetical protein	23.8741
UniRef50_UPI00035F35FD: hypothetical protein|unclassified	23.8741
UniRef50_C3Q0G6	23.7966
UniRef50_C3Q0G6|unclassified	23.7966
UniRef50_UPI00036909B7: hypothetical protein	23.6947
UniRef50_UPI00036909B7: hypothetical protein|unclassified	23.6947
UniRef50_X1RWA1: Marine sediment metagenome DNA, contig: S06H3_S29853 (Fragment)	23.398
UniRef50_X1RWA1: Marine sediment metagenome DNA, contig: S06H3_S29853 (Fragment)|unclassified	23.398
UniRef50_UPI00037C7368: hypothetical protein	23.2686
UniRef50_UPI00037C7368: hypothetical protein|unclassified	23.2686
UniRef50_D3CYU8	23.1081
UniRef50_D3CYU8|unclassified	23.1081
UniRef50_UPI000225FE6D: single-stranded-DNA-specific exonuclease RecJ	22.7779
UniRef50_UPI000225FE6D: single-stranded-DNA-specific exonuclease RecJ|unclassified	22.7779
UniRef50_UPI0002626B8A: DNA polymerase I, partial	22.7077
UniRef50_UPI0002626B8A: DNA polymerase I, partial|unclassified	22.7077
UniRef50_X5QDL1	22.6242
UniRef50_X5QDL1|unclassified	22.6242
UniRef50_F7XLN6	22.55
UniRef50_F7XLN6|unclassified	22.55
UniRef50_UPI0004727F25: DNA-3-methyladenine glycosidase	22.0823
UniRef50_UPI0004727F25: DNA-3-methyladenine glycosidase|unclassified	22.0823
UniRef50_UPI0004792672: hypothetical protein	21.9843
UniRef50_UPI0004792672: hypothetical protein|unclassified	21.9843
UniRef50_A1AT66: Ribonuclease H	21.9753
UniRef50_A1AT66: Ribonuclease H|unclassified	21.9753
UniRef50_UPI00047533BD: hypothetical protein	21.8243
UniRef50_UPI00047533BD: hypothetical protein|unclassified	21.8243
UniRef50_UPI000262ABB5: bifunctional 3''''-5'''' exonuclease/DNA polymerase, partial	21.7033
UniRef50_UPI000262ABB5: bifunctional 3''''-5'''' exonuclease/DNA polymerase, partial|unclassified	21.7033
UniRef50_UPI000471EB7F: hypothetical protein, partial	21.6715
UniRef50_UPI000471EB7F: hypothetical protein, partial|unclassified	21.6715
UniRef50_V0API9	21.607
UniRef50_V0API9|unclassified	21.607
UniRef50_B9TMV3	21.6061
UniRef50_B9TMV3|unclassified	21.6061
UniRef50_X7YQ84	21.5928
UniRef50_X7YQ84|unclassified	21.5928
UniRef50_A4WH24: DNA ligase	21.4833
UniRef50_A4WH24: DNA ligase|unclassified	21.4833
UniRef50_W7L1G5: Phage-related DNA polymerase (Fragment)	21.3769
UniRef50_W7L1G5: Phage-related DNA polymerase (Fragment)|unclassified	21.3769
UniRef50_H5UAD3	21.1789
UniRef50_H5UAD3|unclassified	21.1789
UniRef50_UPI0003A1349D: deoxyribonuclease I	21.0766
